Pathway	Class	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	c__Actinobacteria	0.0151200884	0.05594324412	0.0227351489	0.020269539	0.0964562415	0.0091578543	0.0051957199	0.09576732426	0.0009432852	0.12707422311	0.15666696864	0.10570900173	0.06211005627	0.0102049077	0.00817935736	0.0046273338	0.23996981215	0.184200149	0.0152777494	0.3528488329	0.00846911047	0.072857819	2.3554e-05	0.0047032813	0.002348546	0.25221994	0.246796428	0.0024526783	0.0032293784	3.41309e-05	0.0005852894	5.25604e-05	0.0003476872	0	6.44262e-06	0	0.000631505	0.002763136	0.0021021202	0.00222040824	0.0011206971	0.00127188077	0.0015726208	0.0017443061	0.04594269127	0.0013719575	0	0.1281171253	0.41206058217	0.411228750786	0.0009405869	0.25855860797	0.0183048486	0.0092564036	0.3206622105	0.0198067999	0.0090335445	0.16736392134	0.0117072428	0.0061142182	0.00716993704	0.18966355143	0.038547227	0.18166604767	0.0059226938	0.0966839508	0.07056394959	0.1606037854	0.3691847813	0.2433174146	0.0067760865	0.1760321984	0.0004227447	0.00076218616	0.09694541196	0.07398361087	0.0106106438	0.0045695383	0.005890824	0.0007461254	0.03261623093	0.0080641707	0.0111485859	0.022372129	0.0224483872	0.02080478621	0.02492169	0.0406831773	0.0141882561	0.00506905	0.0244684521	0.00790974	1.64631e-05	0.007183198	0.005433654	0.00563186	0.002737963	0.00130431	0.0079731801	0.0022934349	0.0059377612	0.025724841	0.0096372244	0.002646113	0.003195423	0.11135913721	0.07831981694	0.0247875138	0.0384987614	0.001439317	0.0532643323	0.0005573924	0.0001750725	0.0036082514	0	0.00265283541	0.0151051578	0.0017649732	0.001822131	0.00404179952	0.0036691995	0.01103975083	0.1176203871	0.0248235455	0.07423640902	0.1805137405	0.3032935837	0.00407288926	0	0.11685048002	0.000344656	0.07487859334	0.0219804294	0.0009298505	0.03871072844	0.00416798056	0.05071967357	0.013129205	0.00011077	0.0004139271	0.51339493843	0.00043111609	0.33421056901	0.0223032329	0.0041449156	0.36344794497	0.0015456562	0.0006664235	0.177822644	0.0114466585	0.12598171	0.0213556208	0.0041574905	0.017426452173	0.004680803	0.02211586301	0.0054353896	0	0	0	0.1669628422	0	0.000177553	0	0	0.0113124079	0.004263007	0.0054162116	0.0354057229	0.1620176804	0.0087033303	0.40063979414	0.42941816921	0.0004703591	0.0160794043	0.37470736305	0.25779272681	0.228729680781	0.4705325426	0.1631757902	0.0638657965	0.1964873844
UNINTEGRATED	c__Bacilli	0.03583818748	0.16061714592	0.01360734904	0.11297936779	0.1350572482	0.3862284758	0.1009852657	0.12753623775	0.0255777137	0.175581710463	0.1175668223	0.18866575474	0.019015249264	0.0053430326	0.0487882209	0.00989208924	0.03268615558	0.0648600687	0.03691353857	0.13894837812	0.00177226443	0.4462169556	0.0011342157	0.604363155	0.5528027774	0.2468315188	0.2621128751	0.0079947472	0.0201294388	0.00573598219	0.124373396	0.034395385	0.05257766	0.003505201	0.0025410441	0.0005067511	0.447621694	0.3218187268	0.0479958544	0.0476206559	0.12596866979	0.00803117263	0.007822829541	0.1517716371	0.27165450071	0.01489822047	0.010506212	0.020698149369	0.080168458	0.0421136432	0.0025342169	0.05417503091	0.0483773393	0.0210279067	0.19272869461	0.0653807144	0.21889961994	0.0439478824	0.1482638691	0.1770257174	0.3060886551	0.04750134419	0.16875416677	0.0404305604	0.1363998558	0.0066034766	0.0118760645	0.0180393151	0.0339803829	0.0250690046	0.19753164709	0.0409185448	0.121188199	0.12161696435	0.0490914847	0.11391425845	0.2481518506	0.1342789988	0.0277183488	0.4586114439	0.0407612605	0.0308844042	0.0793186777	0.0850800094	0.0591046656	0.0586376308	0.0004372	0.01080148361	0.08961489359	0.1369625332	0.20424589442	0.39046995	0.559721547	0.3244408453	0.3068026986	0.302607137	0.0509163969	0.507962068	0.208596818	0.00292555868	0.1337431472	0.0530271483	0.0037548935	0.0866002384	0.0378679251	0.0210659111	0.0451932669	0.0030075909	0.000314685	0.111129103	0.001175577	0.00569424097	0.0006472094	0.0098696785	0.6002775	0.0136723691	0.1583926762	0.0111885387	0.02057368288	0.01627323294	0.01532154581	0.0411938823	0.09561781382	0.0184516989	0.07722288268	0.04662844962	0.20098931141	0.0079200268	0.38682266	0.0119681549	0.1188557896	0.029876078423	0.0632477841	0.0149276994	0.02191342211	0.278813213	0.0240293006	0.0338148513	0.0092622818	0.2822791582	0.0872030453	0.1482109585	0.0817618561	0.0815529355	0.0290677889	0.0701733955	0.135163561	0.09698887002	0.0642525474	0.02625158996	0.008065644	0.0617872106	0.13800017239	0.02836591709	0.0127321541	0.08465542778	0.0351754248	0.01395381579	0.019744405	0.00310514541	0.0322616145	0.006230657	0.00039272311	0.000510139	0.0009299424	0.0619476417	0.01475228815	0.0279053731	0.0248675254	0.023648548	0.0237297735	0.0055275843	0.0035946051	0.0023629919	1.930288e-05	0.04061503811	0.103584257	0.21684679874	0.0676153909	0.1093527028	0.01227538402	0.07193205245
UNINTEGRATED	c__Bacteroidia	0.016964116	0.00448825	0.147529161	0.00219787	0.004683117	0.010361225	0.0027738159	0.016418704	0	0	0.000340959	0	6.46024e-05	0.000338503	2.16309e-05	0.075982422	0.1076552861	0.0067860144	0.0067362397	0	0.009041556	0.02004625	0.148852025	0.000609858	0	0.0237709	0.021197712	0.05942348	0.046069874	0.155566736	0.1107777168	0.158265361	0.085202512	0.4052913597	0.35775529913	0	0	0	0.0145594095	0.0015756924	0.1435182908	0.0170568878	0.1742808416	0.106602942	0.023384387	0.0014844638	0.0023224516	0.00707631686	2.49043e-05	0	0.2750271921	0.002152036	0.086424196	0.258869504	0	0.12968477	0.023438571	0	0.092263646	0.0051648516	0	0.03464189	0.037984937	0.000172964	0.03080554	0.11332666	0.063255726	0.074249234	0.0189358035	0.060910706	0.160811727	0.104810026	0.162962113	0.132305976	0.025606253	0.0139421673	0.0017146246	0.03936187	0.102352386	0	0.17109281764	0.2194837368	0.1132919035	0.061284815	0.1668822908	0.2522730208	0.077162429	0.106119225	0	0	0	0	0	0	0	0	0.064324822	0	0.0604407688	0.106850819	0.159189965	0.01962464	0.20652014	0	0.01732039	0	0.0002837021	0.004918348	0.260371269	0	0.000603545	0.02839798	0.04898066	0.017166325	0.1027010792	0.03476105	0.1135846202	0.009786499	0.008831115	0.1256478358	0.0731628366	0.22311947112	0	0.00903026	0	0	0	0.0946201117	2.80364e-05	0.22319597	0.0064425471	0.01241871254	0.049453369	0	0.044952484	0	0.003061989	0.293250847	0.000194459	0	0	0	0	0.277292975	0.050973192	0	0	0	0.224353217	0.075754037	0.253573697	0.210189988	0.04638159	0.07512364	0.3711398392	0.113431785	0.035100491	0.01234519	0.01529974	0.002643339	0.007558304	0.00558802	0.0789788	0.1059784	0.000979293	0.153520231	0.1018750743	0.108932819	0.1383804592	0.034432272	0.123542973	0.0046420514	0.0036418839	0.00478219247	0.0027439524	0.010983319	0.049539459	0.00201995	0.00443469	0.048138938	0.195063352	0.1857407497
UNINTEGRATED	c__Betaproteobacteria	0.00194066	0.000220169	0.00520755	0.00128887	0.00100103	0	0.000150584	0	4.461399e-05	0.000115748	0	0.000208069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020109274	4.41892e-05	0.0002607	0.00236937	0.00115507	0	0	0	0	0	0	0	0	0	0.000347185	0	0	0	0	0	0.001203362	0	0.001475364	0.000158554	0	0	0	0	0	0	0	0	0	0.000225802	0	0.000328392	0	0	0	0	0.00143363	0	0.00179588	0.00047315	0	0	0	0	0	0	0.000563199	0.00142084	0.000174905	9.78444e-05	0.000787864	0.00105224	0	0.00017402	0	0	0	0	0	0	0	0	6.927997e-05	0	0	0	0.0001637453	0	0	0	0	0	0	0	0.000452718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.40792e-05	0.0002579731	0	1.26206e-05	0	0	0	0.001235326	0.00101582	0	0	0.0001004661	0.0006598688	0.0020878	0	0	0.0004728049	0.00118767	0.000969617	0.000148344	0	0.000898137	0.000367236	0.000448868	0.0009013593	0.000359622	0.000338802	0.00144683	0.000609012	0	0	0.000610837	0.000678463	0.000181752	0	0.000396584	0	0	0	0	0	0.000124138	0	0	0	0	0.0002981831	0.0001627746	0	0	3.37549e-05	0
UNINTEGRATED	c__Clostridia	0.2500186282	0.2375131856	0.216633652	0.3368190358	0.2490058536	0.1496306503	0.1443311928	0.1931465637	0	0.00014283	0.1241891992	2.16548e-05	0.2037697701	0.2887222719	0.30121646	0.38604834974	0.03952622405	0.0541265529	0.36226627773	0.000767972	0.35166200613	0	0.265393174	0.0014500502	0.00687657	0.00539068	0.00276177	0.262169224	0.278730371	0.198759547	0.21720999343	0.24097256861	0.28127590416	0.0871105047	0.1132082107	0	0	0.14626362	0.1221292879	0.0474298106	0.06645375759	0.12941220946	0.106016272945	0.0852694334	0.0578067102	0.04236347507	0.248354456	0.2115481995	1.46e-05	2.05541e-05	0.1355494057	0.0002918519	0.2381297646	0.1609349427	0.0084709363	0.1955040796	0.215506671	0.1757391976	0.178933794	0.22020033	0.2269300931	0.1397465243	0.1559655293	0.2080919365	0.2449082745	0.2386748962	0.20578626945	0.032451799125	0.084396242408	0.113526095229	0.0507827382	0.08413600991	0.1092357516	0.101883737	0.196254207492	0.1640628467	0.1362806276	0.250568486101	0.3063458181	0.0187081	0.22831150968	0.22722199457	0.245214812983	0.292860513536	0.21246222453	0.17039099597	0.080490810081	0.297342672072	0.0007649345	7.8327e-06	0	7.96547e-05	0	7.29934e-05	0.0003743739	0	0.230985933	0	0.1301694381	0.148582993581	0.148471954	0.231713139	0.221049822	0.1221585408	0.2531829044	0.000488499	0.0061690499	0.2434195402	0.129226097	0.159587998	0.213897901	0.249275404	0.2957840028	0.1847848755	0.0033661014	0.2487711651	0.278340882	0.2087812406	0.2054883118	0.3092255638	0.388745145	0.1546693279	0.0010003281	0.2716514427	0.0011861725	0.0128188	0.0103074903	0.311523343	0.01727726	0.151544595	0	0.092754979	0.196171889	0	0.278454157	0.0034288787	0.274173629	0.191241731399	0	0	0	0	0	0.101326243172	0.2990261972	0	0	0.010134752	0.047746974	0.1261143564	0.1567282276	0.133315808309	0.2275228061	0.11872909628	0.0909857069	0.17499338676	0.37912655551	0	0.2301456299	0.192819062	0.2130335502	0.18246702523	0.2075448717	0.16954800606	0.3498890278	0.2404952947	0.3075552532	0.2956715197	0.2513570464	0.15915211834	0.26792766835	0.053816451	0.04273445	0.2723684625	0.3510097201	0.0541253821	0.0461870608	0.0013454	0.00196568	0.112444677499	0.139234374	0.03058380664
UNINTEGRATED	c__Coriobacteriia	0.0374740977	0.02281116	0.03185815	0.03453114	0.03071369	0.01164197	0.01083193	0.02578675	0	2.03213e-05	0.0090559773	2.51796e-05	0.01021784682	0.0139147519	0.002879	0.00352945	0.0036815735	0.00045854183	0.0105133904	0.0002665984	0.013835621	0	0	0	0	0	0	0	0	0	0.004803705	0.00513177	0.0104860068	0.0216941263	0.0167104991	0	0	0	0.0389293112	0.0124105864	0.0062449415	0.0254490017	0.0161642482	0.0298632	0.0047071398	0.01333335787	0.036870681	0.0571555733	0.00041111929	0.00108863	0.0087515916	0.0040091021	0.0158230791	0.0052940106	0.0039384092	0.0067718887	0.00428321577	0.013335392	0.0073963928	0.0126434	0.00014471	0.0056957825	0.0150699906	0.014272187	0.0147146	0.011586114	0.0035163374	0.0020328867	0.0052549606	0.0049363625	0.0010336138	0.0041182831	0.0013166941	0.0006997633	0.0085397474	0.01101551	0.0029818064	0.0107137291	0.01590258	0	0.0037259087	0.00858622	0.0116213333	0.0171942354	0.0108862409	0.00200748525	0.0027387312	0.0133935813	5.3451e-06	2.17747e-06	0.0009243014	0	0	0	1.8667e-05	0	0	0	0	0.00712154353	0	0	0	0.00533229	0.01847427618	3.4133e-05	0.00030729626	0	0	0.00998131984	0	0.01471333059	0.0077814798	0.016663231	1.28496e-05	0.011627349	0.012887588	0.014754263	0.0109214018	0.028647429	0.057294373	0.01636568	0.00770287851	0.0067792955	0.00709591	0.00528274	0.00383145472	0.014386	0	0.0124032	0	0.004737226	0.012207349	6.016151e-05	0.0171179973	0.000531008	0.0259644626	0.002336723	0	0	0	0	0	0.00540633	0.02333198	0	9.30925e-05	2.98812e-05	0.002004073	0.0027253109	0.0024970732	0.00661434771	0.0365063249	0.00328843	0.0037242242	0.0108744987	0.0144596927	0	0	0	0.007889369	0	0	0.000332262	0	0.0178857815	0.024814389	0.01407771	0.01397754	0.01850766	0.02596442	0.0063711514	0.009154322	0.0196538586	0.0151427311	0.02933093	0.00506417	0.000976784	0.000669144	0.03736806109	0.0180018735	0.0024106447
UNINTEGRATED	c__Deltaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000930564	0	0	0	0	0	0	0	0	0	0.00236367	0.00379016	0.00545209	0	0	0	0	0	0	0	0	0	0	0	0.00201126595	0	0	0.00691134	0	0	0.000679149	0	0.001991	0.00212477	0	0.00105598	0.00122269	0.000137399	0.0013972	0.000557894	0	3.24046e-05	0	0.00150893	0.000952743	0.00110962	0.00160575285	0.0015971096	0.000837708	0.00133125	0	0.0014125	0	4.49237e-06	0.000172175	0.0005215709	6.93812e-05	0.000691497	0	0	2.07959e-05	2.85153e-05	1.3541e-05	1.01493e-05	8.47062e-06	5.57748e-06	0.0012160249	3.06411e-06	0	0	0	0	0	0	0	0	0	0	0	0.00117971	0	0	0	0	0	0	0.000312285	0	0	0	0.000143622	0	0	0	0	0	0	0	0	0.00219043	0.00836956259	0.00406457	0	0	0	0	0	0	0	0	0	0	0	0	0	3.49658e-06	0	0	0.00438256093	0	0	0	0	0.0004487377	0	0	0	0	0	0	0.000319632	0.000697321	0.00328365	0	0.00164843	0.0011957216	0.001319	0.0044481	0.002812153	0.00045339829	3.356e-05	0.005032276	0.0023942722	0.00221482175	0.00132296936	0.0019185	4.96765e-05	0	0	0.00111369	0.000162269	0.000941104	0.000498945	0.00033458937	0.000305128	0.00040493	0.000815769	5.53953e-05	0	0.000740513	0.00197406	0.000808429
UNINTEGRATED	c__Epsilonproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000295159	0.00134123	0	0	0	0	0	0	0	0.000171166	0	0	0	0	0	0	4.3848e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028782	0	0	5.3998e-05	6.97369e-05	0.000280194	0	0	0	0	0	0	0	0.000416441	0	0	0	0	9.32381e-06	0	0	0	0	0	0	0	0	0	0	0	0	0.000115691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	c__Erysipelotrichia	0.000854073	0.00130186	0.000537583	0.000793727	0.000845527	0.000909935	0.00260961	0.00177485	0	0	0	0.0025813	0.080308817	0.029413193	0.007351367	0.0005448	0	0.000442733	0.00183191	0.000156378	0.003158399	0	0.00707133	0.00205986	0	0	0	0.025872049	0.0308415434	0.029501078	0.0046329196	0.00339923	0.002202298	0.0045699022	0.00877062	0	0	0.00298426	0.00880852	0.000469565	0.000249381	0.002614387	0.000333498	0	0.00160653	0	0	0.001670563	0	0	0.0086467245	0	0.00728899	0.005377724	0.000907188	0.003386695	0	0	0	0	0	0.001065514	0	0.001011278	0.000614474	0.000549371	0	0	0.000409334	0.00061299	0	0.000243449	0.000335514	0.000294809	0.000306886	0.00716075	0.004391604	0.005661002	0.00270802	0	0.000737975	0.000361588	0.001298408	0	0.001548076	0	0.001753817	0.000406716	0.00195841	0	0	0	0	0	0	0	0.01937457	0	0.00877993	0.000688822	0.00838728	0.0212979	0.01055753	0.02021871	0.048217853	0	0	0.01833222	0.010512293	0.06667009	0.02315051	0.04759082	0.036694687	0.06467321	0	0.055726101	0	0.0615735955	0.08686484215	0	0.000575872	0.00029297	0	0.03231167	0	0.00108522	0.000223833	0	0	0	0	0.01042268	0	0	0	0.0003119456	0	0.000437351	0	0	0	0	0	0.004770986	0	0	0	0	0.001817771	0.004655108	0.001512429	0.003407445	0.000680899	0.01500043	0.000910627	0.004668315	0.000332268	0	0.028920253	0.040765386	0.005881327	0.00440374	0.00834711	0.00804493	0.01881057	0.00232171	0.006359903	0.002529895	0.001604107	0.003667484	0.000621289	0.000439099	0.001387924	0.00575928	0.0180851457	0	8.99293e-05	0	0	0.001979772	0.020071718	0.01009178
UNINTEGRATED	c__Firmicutes_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0.00061152	0.00386215	0.00137375	0.0002411824	0.000533739	0.0003237711	0.0049581684	0	0.0068138704	0	0	0	0	0	0	0	0	0	0.0051686591	0.0056594243	0.0051558823	0.000288195	0.001967096	0	0	0	0.005588645	0.000983376	0.003486453	0.002779744	0.00400184	0.00385127	0	0.001032405	0.0502168	0.000658018	0	0	0.000627807	0	0.001482722	0.00429127	0	0.008140706	0	0	0	0	0	0.000831674	0	0.00580771	8.82946e-05	0.00228449	0.003743525	0.0025563415	0.002734907	0.0065171623	0.0032527703	0.00476152	0.0074633132	0.0043672611	0.009382557	0.0088462298	0	0	0.003553543	0	0.006472528	0.006339343	0.007628594	0.005355414	0.003461613	0.002766581	0.005725393	0.01009143	0	0	0	0	0	0	0	0	0	0	0	0.000500798	0	0	0	0	0	0	1.45383e-05	0	0.000931708	0	0.008119787	0.000509649	0.000591725	0.000536283	0	3.21215e-05	0	0.000764927	0.0002282928	0	0	0	0	0	0	0	0	0.00975514	0	0.000649869	0	0.000171781	0.00113571	0	0.0001053237	0	0.000597102	0.00275697	0	0	0	0	0	0.002422199	0.00150542	0	0	0	0	2.03438e-05	0.000333896	0.003705241	0.001471945	0.000219005	0.000433644	0.011554277	0.0080445077	0	0.0050509	0.00097562	0.000509577	0.028669168	0.04727469	0.024537209	0.0240187	0.0011729265	0.005197452	0.003323855	0.0028081913	0.004586733	0.004492621	0.0007264672	0.00120288298	0.005632333	0.004757949	0.00279942	0.00762665	0	0	0.000711843	0.0003887901	0
UNINTEGRATED	c__Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035907	0.005033846	3.76029e-05	0	0	0.000141969	0	0	0	0	0	0	0	0	0	0	0	0	0.00014203	0.000257701	0	0	0	0.000310077	0.00026555	0.001788679	0	0.000972561	0.000505427	0.003392996	5.02902e-05	0	0	0	0	6.01976e-05	0	0.0001653603	0.0032331606	0	0	0	0.000182299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28341e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25139e-05	0	0	0	0	0	0.000120813	0	0	0	0	0.000622736	0	0.00155044	0	0.003541482	0	0.000583438	0	0	0	0	0	0	0	0.000124115	0.000125052	0.017435194	0	0.010846542	0	0	0	0.003115278	0	9.00291e-05	0.011373462	0.00170281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	c__Gammaproteobacteria	0.065493921	0.0088722178	0.0069536903	0.0010778908	0	0	0.33675795	0	0.588732922	0.3510741981559	0.1644977467	0.269726479276	0.037292782	0.0062369	0.01821607125	0.00258732467	0.0388226782	0.1741419871	0	0.076389385	0.045770341	0.061825611	0	0	0	0	0	0	0	0	0.0107599614	0.0048142531	0.0363831677	0	0	0.865870494	0.1850791783	0.011037601	0.205878155	0.429097589	0.077810222	0.284812352	0.078890635	0.018067807	0.2738484912	0.69208482	0.013800099	0.062987681	0.12934386265	0.1626077708	0.0051340578	0.36592809082	0.0039330864	0	0.034039731	0.0015655355	0.048211374	0.0126883648	0.029793303	0.0221784229	0	0	0.064680726	0.021292259	0.014062115	0.0079378138	0.104198142	0.33242731	0.005388631	0.0261758754	0.0516127398	0.078001922	0.079284981	0.1489249925	0.064229125	0.0042930459	0.082709889	0.053915423	0.0208041023	0.1118100044	0	0.0014862209	0.0017287094	0.0012530763	0.0052253273	0.00573467	0.42702231	0	0.467787537	0.4805530337	0	0.2239965262	0	0.2572994195	0.236870656	0.1900000573	0.01001619608	0.051262889	0.1024183063	0.338156062	0.00120761008	0.0380695436	0.0012702472	0.0094048	0.0102594206	0.63936045235	0.64629567537	0.0145467804	0	0.01283688	0	0	0	1.51691e-05	0	0.0204562413	0	0.0031744901	0	0	5.91711e-05	0.04622613866	0.47468868204	0	0.59541058698	0.44452150949	0.03482993266	0.02564156	0.2190770324	0	0.70351869	0.4212075678	0.20081137093	0.8707681	0.08810614492	0.499991683	0.07674226574	0	0.6027038841	0.4085983178	0.0087423	0.6164154071	0.217603164	0.0353502373	0.0107814478	0.262447849	0.6145269745	0.5291422579	0.041610704	0.44855872	0	0.029901299	0.0030170905	0.39225654978	0.0356983408	0.0558806658	0.0083679541	0.5957171621	0.30767564085	0.136988228	0.0328473542	0.322731793	0.0330275378	0.078373597	0.0818954393	0.0034696705	0	0.02086601652	0.0094733433	0.0154544936	0.0054383761	0.048060932	0.0248858905	0.117589491	0	0.053548939	0.063799138	0.1602121566	0.0584735109	0.0254679433	0.0013569525	0.0062551313
UNINTEGRATED	c__Lentisphaerae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72736e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	c__Lentisphaeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85386e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40482e-05	0	0.00125953	0.00185079	0	0	0	0	0	0	0
