Feature	Species	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNMAPPED	NA	0.195703	0.18486	0.184854	0.196282	0.183128	0.171438	0.146951	0.183047	0.137497	0.138461	0.154836	0.161395	0.207124	0.237519	0.226766	0.180988	0.162988	0.152509	0.17938	0.16339	0.181232	0.142444	0.194435	0.14479	0.168955	0.170233	0.169233	0.194685	0.206514	0.20121	0.181724	0.18456	0.185445	0.167271	0.175371	0.0745202	0.137496	0.184627	0.190656	0.186565	0.187534	0.163738	0.196898	0.206723	0.141621	0.0994073	0.180161	0.174999	0.187087	0.158426	0.185808	0.127589	0.187533	0.179359	0.140332	0.180675	0.167288	0.163723	0.169708	0.18495	0.173797	0.17137	0.168188	0.173827	0.1761	0.172416	0.183472	0.12556	0.167956	0.184432	0.163457	0.177128	0.163698	0.156946	0.189999	0.204881	0.169634	0.175902	0.200702	0.177933	0.184616	0.179547	0.192287	0.191545	0.185295	0.172444	0.135363	0.191884	0.190323	0.163693	0.262117	0.163314	0.154215	0.163492	0.168518	0.157568	0.191212	0.161726	0.172188	0.127516	0.176431	0.190651	0.182918	0.265583	0.19924	0.0988527	0.100372	0.211488	0.200588	0.197475	0.253459	0.233194	0.201994	0.240914	0.13722	0.212243	0.169938	0.211375	0.250598	0.167982	0.168497	0.164664	0.114845	0.191406	0.0972687	0.107962	0.143241	0.173262	0.141574	0.160191	0.0785514	0.132911	0.154302	0.0586507	0.17026	0.104894	0.177538	0.165078	0.135154	0.12849	0.156366	0.110148	0.141059	0.171464	0.186304	0.133174	0.108667	0.139011	0.156947	0.121446	0.176581	0.168795	0.209806	0.133319	0.162228	0.177831	0.207325	0.132099	0.161617	0.207426	0.175975	0.159447	0.20875	0.215851	0.185977	0.204264	0.204438	0.201577	0.188528	0.203573	0.203617	0.176852	0.176942	0.193502	0.20172	0.153598	0.158769	0.150294	0.142853	0.174073	0.18031	0.155301
UNINTEGRATED	unclassified	0.120114	0.10503	0.105977	0.102196	0.088312	0.0502655	0.0720184	0.0822605	0.0449895	0.040818	0.0508791	0.0655992	0.114454	0.204552	0.214932	0.0712857	0.0432797	0.0393755	0.146388	0.0409881	0.0709482	0.0761397	0.105964	0.0577325	0.0911658	0.0478088	0.046574	0.0978822	0.120438	0.109571	0.133288	0.11028	0.0990641	0.0590058	0.0665548	0.0161177	0.0427366	0.123261	0.160211	0.0954988	0.0819891	0.133513	0.11465	0.113138	0.0416109	0.0581546	0.238951	0.126946	0.0251692	0.0334886	0.0899183	0.0238976	0.0686311	0.0614546	0.0251055	0.0965927	0.0729781	0.115095	0.0827937	0.0997191	0.0739719	0.0624272	0.0725528	0.0866288	0.0967544	0.108328	0.14499	0.0578623	0.0507425	0.102571	0.0937446	0.125389	0.112308	0.0762437	0.153829	0.185784	0.0655291	0.0776081	0.121548	0.0409148	0.106135	0.0863787	0.109062	0.10696	0.110483	0.107162	0.0891327	0.114049	0.0391388	0.035888	0.308836	0.057063	0.0812349	0.0498551	0.0563271	0.0424003	0.10669	0.0445223	0.0796202	0.0556744	0.0870492	0.135681	0.121033	0.31538	0.152391	0.0325018	0.0305221	0.171729	0.118821	0.194316	0.258046	0.173061	0.131624	0.216017	0.0261425	0.148678	0.0949576	0.226136	0.177229	0.103333	0.115852	0.0867166	0.0496724	0.106877	0.0239616	0.0244888	0.0249899	0.099562	0.0532496	0.0806853	0.0394956	0.0994194	0.0866924	0.0289432	0.0989355	0.0447893	0.112672	0.0951368	0.0220686	0.0513533	0.036614	0.0453723	0.0614526	0.0946971	0.0975635	0.0362662	0.048845	0.0660318	0.061086	0.0589012	0.0873966	0.115443	0.10185	0.0705409	0.126576	0.129488	0.110834	0.0257571	0.128511	0.281943	0.191738	0.142915	0.189597	0.171958	0.122212	0.125073	0.102329	0.120848	0.111608	0.143353	0.158422	0.0611824	0.0576758	0.120504	0.115995	0.0474528	0.0624393	0.0544504	0.0223637	0.0897111	0.0922333	0.0347448
M00001	unclassified	1.02297e-05	3.42046e-06	1.19311e-05	2.62983e-06	3.5927e-06	2.22951e-06	6.07971e-06	0	0	9.62956e-07	8.36785e-06	1.42495e-05	5.33361e-06	9.24435e-06	9.53938e-06	2.09192e-06	2.27439e-06	6.80183e-07	2.16749e-06	1.60419e-06	1.61124e-06	7.23087e-06	3.45904e-06	3.38981e-07	0	0	0	4.18085e-06	5.9221e-06	7.29775e-06	6.13195e-06	7.5949e-06	7.23607e-06	1.7713e-06	0	0	0	3.63542e-06	5.99871e-06	7.3949e-06	3.64811e-06	4.00384e-06	5.18806e-06	3.38434e-06	8.48068e-07	3.28995e-06	8.42202e-06	2.35056e-06	6.1115e-07	0	0	2.18672e-06	3.88597e-06	2.38535e-06	1.84021e-06	6.10672e-06	1.40052e-06	1.05633e-05	1.90577e-06	1.93482e-06	1.06508e-06	3.59843e-06	2.56671e-06	1.3027e-05	2.23877e-06	9.07984e-06	1.20225e-06	1.59634e-06	1.15372e-06	2.14646e-06	1.64834e-05	2.18873e-06	1.74164e-05	7.45864e-06	1.20798e-06	1.52321e-06	2.59293e-06	0	1.55996e-05	3.74187e-07	1.83107e-05	1.03825e-05	4.39691e-06	4.75795e-06	1.52619e-05	1.97574e-05	1.88293e-06	5.02928e-06	7.6734e-07	4.13052e-07	0.000407914	0	0.000122789	9.17245e-07	0	1.20084e-05	5.77894e-06	1.42331e-05	0	2.59117e-06	6.40144e-06	7.12179e-06	4.50346e-06	2.36767e-05	2.87483e-06	9.28467e-07	1.1739e-06	2.68184e-06	5.73855e-06	1.13507e-05	7.67199e-06	5.67194e-06	4.32269e-06	0	0	3.49483e-06	2.54028e-06	1.28192e-05	1.03907e-05	4.32941e-06	5.90907e-06	2.97904e-06	9.6977e-07	0	2.64564e-07	2.28042e-07	1.51713e-06	1.57797e-05	1.20119e-06	2.32554e-05	0	3.01956e-06	9.96945e-06	1.09545e-06	1.1819e-05	1.26362e-06	2.63156e-05	4.26327e-06	0	4.05047e-06	0	5.26066e-06	1.74773e-06	7.23854e-07	1.30376e-05	9.34868e-07	6.1647e-06	9.09943e-06	5.61392e-06	2.4383e-06	5.7512e-06	2.30087e-06	1.18306e-05	4.00779e-06	5.65983e-06	2.90501e-06	2.15974e-06	1.64398e-06	3.05614e-06	3.66604e-05	4.33617e-06	7.14926e-06	2.93e-06	4.67538e-06	3.99874e-06	7.92788e-06	4.79162e-06	1.34991e-05	1.05989e-05	9.97486e-06	7.3193e-06	4.3735e-06	4.14576e-06	9.63623e-06	1.17577e-05	1.38418e-06	9.17666e-07	1.19645e-06	5.55677e-07	3.72987e-06	4.14535e-06	4.1419e-07
M00002	unclassified	1.95224e-05	5.92928e-06	2.07006e-05	0	0	0	1.00005e-05	0	1.34666e-07	0	1.48481e-05	0	4.58717e-06	6.88335e-06	9.50911e-06	2.63435e-06	3.10205e-06	0	2.70863e-06	1.71514e-06	1.62794e-06	0	0	0	0	0	0	0	0	2.93967e-06	5.18233e-06	6.68554e-06	5.64089e-06	0	3.51742e-06	0	0	0	4.2416e-06	9.42292e-06	0	3.32713e-06	3.16776e-06	2.29049e-06	1.36379e-06	4.58174e-06	1.0425e-05	1.69106e-06	0	5.42294e-07	0	0	2.28127e-06	0	1.83431e-06	3.30042e-06	0	3.84044e-06	0	1.30389e-06	0	1.63488e-06	1.80877e-06	1.6127e-05	0	4.01099e-06	1.58847e-06	0	1.13635e-06	1.68672e-06	1.39691e-05	2.20124e-06	1.55001e-05	6.48388e-06	0	0	0	3.51103e-06	2.61638e-05	0	1.59988e-05	9.52153e-06	6.45358e-06	6.86663e-06	2.37822e-05	1.65745e-05	2.7561e-06	5.68724e-06	0	0	0.000301189	0	0.00011982	0	1.13557e-06	1.15124e-05	2.65123e-06	1.07636e-05	6.8363e-06	3.15622e-06	5.03618e-06	6.62836e-06	2.94817e-06	3.39654e-05	0	0	1.1374e-06	3.22534e-06	6.38215e-06	6.63637e-06	7.93495e-06	4.91775e-06	2.66652e-06	6.67464e-06	0	2.6329e-06	0	8.82764e-06	1.70797e-05	6.77579e-06	0	0	1.25685e-06	0	0	0	1.3533e-06	2.71049e-05	0	0	1.04192e-06	0	1.77078e-05	0	2.34855e-05	0	5.13996e-05	4.33341e-06	0	0	9.40977e-07	1.37141e-06	7.12379e-07	0	2.31178e-05	1.62565e-06	2.29557e-06	2.89194e-06	7.61675e-06	1.35083e-06	7.25185e-06	3.05636e-06	2.00358e-05	9.51401e-07	6.05944e-06	4.11457e-06	3.61136e-06	0	2.87155e-06	1.22595e-05	4.93002e-06	0	1.91245e-06	4.96273e-06	0	6.66689e-06	5.26409e-06	2.21848e-05	1.19039e-05	1.38074e-05	7.76993e-06	7.94978e-06	7.05095e-06	1.30469e-05	1.43939e-05	1.01442e-06	0	1.18449e-06	5.47886e-07	1.84274e-06	5.89762e-06	0
M00003	unclassified	0	3.56462e-06	1.21821e-05	0	0	0	6.0881e-06	0	0	0	9.09303e-06	0	5.42854e-06	9.61607e-06	8.66727e-06	2.20636e-06	2.21925e-06	0	2.0695e-06	1.32488e-06	1.34237e-06	0	0	0	0	0	0	0	0	2.74008e-06	6.22804e-06	5.51262e-06	7.35419e-06	1.51637e-06	0	0	5.86584e-08	0	6.34462e-06	7.95175e-06	3.55077e-06	3.91117e-06	4.77434e-06	2.59933e-06	8.57323e-07	3.44037e-06	7.98605e-06	0	0	0	1.36581e-06	0	3.61138e-06	2.66833e-06	1.97626e-06	6.28778e-06	0	1.18749e-05	0	0	0	3.00941e-06	0	1.24192e-05	1.76988e-06	5.40331e-06	6.42761e-06	0	9.69965e-07	3.57036e-06	1.5554e-06	0	5.49541e-06	2.03062e-06	5.48678e-06	5.27731e-06	0	2.30231e-06	0	0	5.97315e-06	7.28044e-06	5.80723e-06	6.43026e-06	1.56636e-05	8.09472e-06	2.52812e-06	5.85768e-06	0	0	0.000307419	0	9.27708e-05	0	0	8.75866e-06	0	1.04574e-05	0	0	0	4.20557e-06	0	2.42512e-05	2.6932e-06	0	9.10623e-07	1.62731e-06	0	1.04527e-05	5.84525e-06	6.64845e-06	5.15282e-06	8.61528e-06	0	4.29636e-06	0	1.20313e-05	1.20254e-05	0	0	2.68075e-06	9.75741e-07	4.95081e-06	0	0	1.6297e-06	1.85219e-05	0	2.73264e-05	6.58089e-07	0	1.16955e-05	0	1.56093e-05	0	3.27322e-05	2.71908e-06	3.54333e-07	0	0	0	1.18145e-06	0	1.60823e-05	0	3.20852e-06	3.88144e-06	4.33232e-06	0	0	2.5276e-06	1.18732e-05	4.69004e-06	0	2.89091e-06	2.9026e-06	0	0	0	0	0	2.9086e-06	3.45411e-06	0	8.2264e-06	4.97742e-06	0	1.18019e-05	1.29886e-05	1.07941e-05	4.81247e-06	4.66793e-06	1.06964e-05	0	0	0	1.11269e-06	0	2.37866e-06	2.93628e-06	5.94072e-07
M00004	unclassified	3.09439e-06	1.25818e-06	0	8.39486e-07	0	0	1.15083e-06	0	0	0	0	2.00792e-06	1.4133e-05	6.62489e-06	9.5564e-06	2.07803e-06	1.24033e-06	1.17742e-06	4.67399e-06	1.85745e-06	0	2.21692e-05	6.28899e-06	0	0	0	0	0	5.39379e-06	1.41999e-05	6.92191e-06	9.39011e-06	6.59559e-06	5.62776e-06	3.45303e-06	0	0	0	8.90674e-06	2.32598e-06	5.02385e-06	5.76641e-06	6.32313e-06	6.24351e-06	1.00664e-06	1.93788e-06	2.47909e-06	4.57393e-06	0	1.27222e-06	0	5.80095e-07	5.72563e-06	2.67361e-06	1.80407e-06	0	2.06238e-06	1.23879e-06	0	2.12508e-06	0	0	1.99022e-06	3.16931e-06	3.70926e-06	1.92137e-05	9.50201e-07	1.15234e-06	1.13114e-06	2.10754e-06	1.17571e-05	2.95321e-06	1.95005e-05	8.40509e-06	4.28733e-06	6.59574e-06	8.14405e-07	6.42066e-07	0	3.38542e-07	1.81081e-05	2.19804e-05	1.07247e-05	9.81006e-06	1.4107e-05	2.90836e-05	0	1.11658e-05	5.806e-07	0	0.000468379	2.09477e-06	0.000103433	0	0	1.72691e-05	1.13168e-05	2.49246e-05	0	1.40497e-05	1.96751e-05	2.10732e-05	1.975e-05	1.15393e-05	6.2524e-06	1.10007e-06	1.0703e-06	1.46781e-05	1.37062e-05	7.31334e-06	1.08145e-05	3.9703e-06	0	0	0	3.86658e-06	1.29938e-05	9.99839e-06	1.31243e-05	0	1.83938e-05	4.311e-06	2.29253e-06	2.21992e-06	0	0	2.36479e-06	7.44858e-06	0	0	4.27962e-07	3.47671e-06	2.59493e-06	0	1.94502e-06	1.92309e-06	0	1.50149e-05	0	0	1.67519e-07	0	1.34442e-06	0	4.49874e-06	6.42577e-07	6.6983e-06	1.14077e-05	6.20666e-06	1.314e-06	1.22415e-05	6.01451e-06	3.32387e-06	1.31863e-06	1.29087e-05	2.92744e-06	2.73238e-06	2.96283e-06	1.2299e-05	0.00010477	3.88068e-06	1.35581e-05	4.82205e-06	3.17591e-06	5.72374e-06	8.99943e-06	0	3.128e-06	4.10975e-06	4.47159e-06	7.61859e-06	3.74204e-06	3.09929e-06	5.83743e-07	3.64131e-06	2.25626e-06	0	1.33024e-05	0	5.02861e-06	1.54125e-06	1.19141e-06
M00005	unclassified	2.47507e-07	0	8.84579e-06	6.33808e-07	6.06954e-07	0	0	0	0	0	1.58168e-06	3.2625e-07	5.7284e-06	1.9096e-05	2.31147e-05	3.6571e-06	8.21722e-07	1.38562e-06	2.18676e-06	0	1.46705e-06	3.98979e-05	1.05823e-05	0	0	0	0	1.5501e-05	1.51823e-05	2.65093e-05	8.16893e-06	1.56544e-05	7.37712e-06	4.59155e-06	9.37547e-06	0	0	7.35068e-07	4.76847e-06	1.91985e-06	7.9277e-06	2.08959e-06	4.07155e-06	2.57347e-06	0	2.35923e-06	0	1.10933e-06	0	0	8.38524e-06	9.321e-07	2.33657e-06	1.75319e-06	6.91452e-07	8.07868e-06	0	0	2.68958e-06	0	3.55494e-07	8.23396e-07	2.264e-06	1.60196e-06	4.36871e-07	3.1878e-06	2.56406e-06	7.11244e-07	4.48366e-06	5.01224e-06	5.54919e-06	2.43081e-06	1.05825e-05	2.87272e-06	4.04133e-07	4.36049e-07	0	7.6964e-07	9.32366e-06	1.92096e-07	5.45444e-06	8.82136e-06	2.98194e-06	1.88979e-06	8.25237e-06	9.62093e-06	3.78036e-07	5.61028e-06	6.92429e-07	6.33113e-07	0.000968541	1.26165e-06	0.000207403	5.74125e-06	7.43061e-07	2.12662e-05	1.11582e-05	2.93814e-05	0	1.55457e-06	9.95184e-07	5.08561e-06	6.13967e-06	6.25517e-06	3.86912e-06	2.29488e-06	1.15217e-06	6.92649e-06	1.80305e-05	9.21392e-06	1.52358e-05	1.5553e-05	8.55118e-06	1.17786e-05	0	1.82063e-05	4.98116e-06	2.63718e-05	1.13865e-05	5.79818e-06	2.39127e-06	1.6853e-05	2.79833e-07	1.34451e-06	0	6.16314e-07	1.41795e-06	1.79049e-06	5.71969e-07	2.75092e-06	0	5.88661e-06	6.8886e-07	0	3.85958e-06	0	1.63681e-06	2.47739e-06	0	0	0	0	1.66588e-06	3.41186e-06	2.27951e-06	1.52255e-06	0	6.60711e-07	2.55004e-06	2.43427e-06	1.32264e-05	0	9.18976e-07	3.10957e-06	8.48918e-06	2.48325e-06	2.90016e-06	6.3896e-07	1.81723e-05	4.99253e-05	4.40969e-06	2.5961e-06	0	4.44422e-07	1.72604e-06	2.39105e-05	1.37182e-05	9.60838e-06	5.69667e-06	6.89249e-06	1.02839e-05	0	1.52769e-06	4.76299e-07	1.19469e-06	0	2.9365e-07	1.91931e-06	0	3.69764e-06	1.47738e-05	2.14928e-06
M00006	unclassified	5.06332e-07	2.00344e-06	0	0	0	0	0	0	0	0	8.2391e-07	0	0	2.80475e-06	5.51975e-06	0	8.91652e-07	0	0	1.39022e-06	0	4.21785e-05	0	1.68538e-07	0	0	0	0	2.88396e-06	0	3.49562e-06	7.44583e-06	0	0	1.72814e-06	0	0	0	3.11372e-06	0	3.94979e-06	0	4.46073e-06	2.87772e-06	0	4.35586e-07	0	0	0	8.51992e-07	0	0	0	0	1.40686e-06	0	0	0	0	0	0	0	7.80333e-07	0	0	0	0	0	0	1.05264e-06	1.09538e-05	0	1.18761e-05	0	1.29641e-06	0	0	0	0	5.78254e-07	1.14919e-05	5.26713e-06	0	1.44529e-06	2.904e-06	1.30634e-05	0	0	0	0	0.000495653	0	0.000106025	5.06355e-06	0	1.12243e-05	7.03957e-06	1.5765e-05	0	0	0	1.31217e-05	8.48705e-06	0	1.51655e-06	0	0	5.96636e-06	0	4.54509e-06	0	0	0	0	0	4.16435e-06	0	4.43615e-06	6.39012e-06	5.52553e-06	0	2.06548e-06	1.38664e-06	0	0	0	1.19463e-06	0	0	0	0	0	1.83077e-06	0	5.66174e-07	1.41806e-06	0	3.84804e-06	1.98243e-07	0	0	0	1.37377e-06	0	0	4.72938e-07	8.77308e-07	0	2.43691e-06	0	4.4738e-06	0	0	6.33944e-07	5.37508e-06	0	0	0	7.40339e-06	1.2529e-05	1.98144e-06	7.74604e-07	1.16713e-06	0	0	2.73464e-06	0	0	0	1.42493e-06	3.45533e-06	0	1.35015e-06	0	4.20179e-06	0	0	0	0	8.98435e-07	6.00571e-07	0
M00007	unclassified	5.41237e-06	4.82342e-07	2.91771e-06	5.4323e-07	1.70335e-06	5.25365e-07	6.52672e-07	0	0	1.47989e-06	0	3.09306e-06	2.14118e-05	1.0445e-05	1.3439e-05	3.34071e-06	1.56553e-06	1.66097e-06	7.64168e-06	2.32469e-06	2.98733e-06	0	1.02666e-05	0	0	0	1.21831e-07	1.12664e-05	7.1193e-06	1.86436e-05	9.57636e-06	1.02568e-05	7.30802e-06	1.01568e-05	5.17792e-06	0	0	9.41881e-06	1.32626e-05	3.23e-06	5.72695e-06	8.20377e-06	7.94724e-06	7.95163e-06	1.33792e-06	3.4326e-06	4.56014e-06	7.60336e-06	1.83651e-07	1.69244e-06	8.78711e-06	0	7.38411e-06	4.7889e-06	2.20128e-06	4.98231e-06	3.65131e-06	2.09016e-06	3.19465e-06	3.32253e-06	1.32424e-05	5.59241e-06	3.17809e-06	3.22195e-06	6.9356e-06	2.86328e-05	1.18284e-06	1.23907e-06	1.21171e-06	2.41141e-06	1.25605e-05	3.47282e-06	2.69459e-05	1.24276e-05	7.27825e-06	1.19607e-05	1.27459e-06	0	4.58364e-06	0	2.47243e-05	3.86937e-05	2.03894e-05	1.80912e-05	2.50284e-05	4.51038e-05	1.82485e-06	2.0491e-05	7.74563e-07	4.07176e-06	0.000422098	0	0.000100375	0	2.78974e-06	2.30314e-05	1.3976e-05	3.33964e-05	2.58317e-05	2.64903e-05	2.38485e-05	2.65484e-05	2.50581e-05	2.20572e-05	1.08086e-05	1.3541e-06	1.16456e-06	2.14511e-05	2.05372e-05	1.00816e-05	1.67653e-05	7.08329e-06	5.0586e-06	2.82542e-06	3.28271e-06	3.56881e-06	2.18007e-05	1.55606e-05	1.98586e-05	2.12633e-05	3.07396e-05	6.51901e-06	3.04424e-06	0	3.95498e-07	0	3.53496e-06	1.07544e-05	0	5.82411e-06	0	5.38391e-06	2.99333e-06	5.00945e-07	3.26512e-06	2.34171e-06	4.92375e-06	2.61818e-05	0	9.9436e-06	0	1.2906e-05	1.31507e-06	0	6.69167e-06	8.12217e-07	1.24178e-05	2.13097e-05	9.91882e-06	0	1.9726e-05	1.18962e-05	4.74805e-06	2.00331e-06	2.04424e-05	4.88209e-06	5.25728e-06	3.66123e-06	1.71946e-05	0.00019563	5.77992e-06	2.54588e-05	8.2436e-06	5.78511e-06	1.10282e-05	1.34017e-05	6.41912e-06	4.23535e-06	5.82031e-06	7.37963e-06	1.03144e-05	6.04917e-06	4.53225e-06	5.36561e-07	3.05362e-06	4.14728e-06	1.46678e-05	2.60724e-05	3.82793e-07	8.30875e-06	2.27211e-06	2.07814e-06
M00008	unclassified	5.06332e-07	2.06906e-06	1.51919e-06	0	0	0	0	0	0	0	2.39857e-06	1.01689e-06	8.04732e-06	5.20851e-06	5.52837e-06	2.07318e-06	9.23093e-07	5.99554e-07	2.27381e-06	1.39022e-06	0	4.24365e-05	3.23391e-06	0	0	0	1.064e-06	0	2.88396e-06	0	6.76071e-06	9.78668e-06	7.48544e-06	0	1.72814e-06	0	0	1.40369e-06	6.63749e-06	1.29994e-06	4.1542e-06	6.8254e-06	1.20428e-05	4.893e-06	0	1.05597e-06	0	1.75787e-06	4.36932e-07	8.51992e-07	0	0	0	0	1.40686e-06	2.28645e-06	0	2.98643e-07	0	1.78729e-06	0	0	7.80333e-07	2.88032e-06	2.06022e-06	0	0	0	0	1.05264e-06	2.32912e-05	1.03766e-05	2.86306e-05	8.70995e-06	1.01239e-05	1.94585e-05	2.32128e-06	0	0	5.78254e-07	1.3159e-05	8.62615e-06	2.84481e-06	3.64672e-06	5.13746e-06	1.70086e-05	0	4.64703e-06	0	0	0.000464364	0	0.000106025	0	0	1.12243e-05	7.03957e-06	1.51489e-05	1.43782e-05	1.10499e-06	0	1.31217e-05	8.48705e-06	0	4.20418e-06	0	1.03995e-06	5.96636e-06	0	1.19389e-05	6.20139e-06	8.04447e-06	0	6.28181e-06	0	1.10374e-05	1.41589e-05	6.50125e-06	1.14434e-05	5.61538e-06	0	2.06548e-06	1.38664e-06	0	2.40098e-07	3.81953e-07	1.19463e-06	7.73556e-06	7.48529e-07	0	6.69289e-07	0	4.85749e-06	0	1.89289e-06	2.02013e-06	0	3.62395e-06	0	9.56718e-08	0	1.49084e-06	2.37446e-06	5.1807e-06	3.5455e-06	6.73457e-07	9.85616e-07	2.60176e-06	1.97039e-06	0	4.04578e-06	1.12055e-05	1.85901e-06	1.51227e-06	4.65473e-06	1.05715e-05	3.58257e-07	1.32335e-06	7.40339e-06	1.85799e-05	2.29472e-06	1.64358e-06	1.64003e-06	0	7.52773e-07	1.08953e-05	2.25198e-05	6.14932e-06	4.07943e-06	5.45729e-06	6.14397e-06	1.98817e-06	2.19103e-06	4.09695e-06	1.30699e-05	1.2126e-06	1.72181e-07	0	1.85856e-07	2.84303e-06	1.0054e-06	2.15583e-07
M00009	unclassified	2.5139e-06	6.76963e-07	3.62458e-06	9.40974e-07	6.92698e-07	0	1.87744e-06	1.02228e-06	0	0	7.17355e-07	8.85144e-06	0	3.72988e-06	4.63867e-06	2.03813e-06	0	0	0	0	1.69148e-06	0	1.67113e-06	0	0	0	0	0	0	2.8478e-06	5.31833e-06	3.61003e-06	0	0	0	0	0	1.47639e-06	2.9531e-06	0	0	2.84024e-06	3.46269e-06	2.49863e-06	0	0	4.25963e-06	0	0	0	0	0	8.27426e-07	0	1.03165e-06	0	7.6096e-07	0	0	8.40073e-07	0	2.91495e-06	0	0	0	2.28777e-06	0	0	1.06905e-06	2.31868e-06	2.20949e-06	0	5.32065e-06	0	2.72319e-06	0	0	3.7602e-07	0	0	0	0	0	0	7.82761e-06	4.07728e-06	1.33609e-06	4.10228e-06	0	4.68755e-08	0	0	0	0	0	6.358e-06	0	0	0	0	0	0	0	0	0	0	5.64971e-07	0	0	0	0	0	0	0	0	0	0	4.76756e-06	8.09819e-06	1.02323e-05	0	0	0	0	0	1.01842e-06	1.0558e-06	9.53401e-06	0	1.39526e-05	2.22098e-07	6.66691e-07	6.13374e-06	2.47333e-07	8.26118e-06	0	1.54297e-05	0	3.15884e-08	0	0	0	0	3.04236e-07	7.62484e-06	8.48059e-07	0	7.14444e-06	2.43955e-06	0	0	1.76701e-06	5.53761e-06	0	7.45265e-06	2.84678e-06	3.03484e-06	4.10271e-07	6.2784e-06	2.81134e-05	1.49366e-06	0	0	1.1013e-06	1.6238e-06	2.92511e-06	1.38338e-06	0	4.73647e-06	5.31461e-06	5.76433e-06	2.00428e-06	1.87712e-06	3.36233e-06	3.19244e-06	0	8.43823e-07	0	0	1.17129e-06	6.93567e-07	0
