Pathway	Phylum	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
UNINTEGRATED	p__Actinobacteria	0.0525941861	0.07875440412	0.0545932989	0.054800679	0.1271699315	0.0207998243	0.0160276499	0.12155407426	0.0009432852	0.12709454441	0.16572294594	0.10573418133	0.07232790309	0.0241196596	0.01105835736	0.0081567838	0.24365138565	0.18465869083	0.0257911398	0.3531154313	0.02230473147	0.072857819	2.3554e-05	0.0047032813	0.002348546	0.25221994	0.246796428	0.0024526783	0.0032293784	3.41309e-05	0.0053889944	0.0051843304	0.010833694	0.0216941263	0.01671694172	0	0.000631505	0.002763136	0.0410314314	0.01463099464	0.0073656386	0.02672088247	0.017736869	0.0316075061	0.05064983107	0.01470531537	0.036870681	0.1852726986	0.41247170146	0.412317380786	0.0096921785	0.26256771007	0.0341279277	0.0145504142	0.3246006197	0.0265786886	0.01331676027	0.18069931334	0.0191036356	0.0187576182	0.00731464704	0.19535933393	0.0536172176	0.19593823467	0.0206372938	0.1082700648	0.07408028699	0.1626366721	0.3744397419	0.2482537771	0.0078097003	0.1801504815	0.0017394388	0.00146194946	0.10548515936	0.08499912087	0.0135924502	0.0152832674	0.021793404	0.0007461254	0.03634213963	0.0166503907	0.0227699192	0.0395663644	0.0333346281	0.02281227146	0.0276604212	0.0540767586	0.0141936012	0.00507122747	0.0253927535	0.00790974	1.64631e-05	0.007183198	0.005452321	0.00563186	0.002737963	0.00130431	0.0079731801	0.00941497843	0.0059377612	0.025724841	0.0096372244	0.007978403	0.02166969918	0.11139327021	0.0786271132	0.0247875138	0.0384987614	0.01142063684	0.0532643323	0.01527072299	0.0079565523	0.0202714824	1.28496e-05	0.01428018441	0.0279927458	0.0165192362	0.0127435328	0.03268922852	0.0609635725	0.02740543083	0.12532326561	0.031602841	0.08133231902	0.1857964805	0.30712503842	0.01845888926	0	0.12925368002	0.000344656	0.07961581934	0.0341877784	0.00099001201	0.05582872574	0.00469898856	0.07668413617	0.015465928	0.00011077	0.0004139271	0.51339493843	0.00043111609	0.33421056901	0.0277095629	0.0274768956	0.36344794497	0.0016387487	0.0006963047	0.179826717	0.0141719694	0.1284787832	0.02796996851	0.0406638154	0.020714882173	0.0084050272	0.03299036171	0.0198950823	0	0	0	0.1748522112	0	0.000177553	0.000332262	0	0.0291981894	0.029077396	0.0194939216	0.0493832629	0.1805253404	0.0346677503	0.40701094554	0.43857249121	0.0201242177	0.0312221354	0.40403829305	0.26285689681	0.229706464781	0.4712016866	0.20054385129	0.08186767	0.1988980291
UNINTEGRATED	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86218e-05	0	0	0	0	0	0	0	0	0	0	0.0015345	0	0	0	0	0	0	0	0.000335427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51042e-05	0	0	0	0	0	0	0	0	0	0	0.000861064	0	0.0506230303	0	0.00779242	0	0.000284158	0	0	0.0010152049	0	0	0	0	0	0	0	0	5.22573e-05	0	0	0	0	0	0	0	0.00142873	0	0	0	0	0	0	0	0.000190363	0	0	0	0.000409901	0	0	0	5.14257e-05	0	0	0.000108283	0	0	0	0	0	0	0	0	0.000437353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Bacteroidetes	0.016964116	0.00448825	0.147529161	0.00219787	0.004683117	0.010361225	0.0027738159	0.016418704	0	0	0.000340959	0	6.46024e-05	0.000338503	2.16309e-05	0.075982422	0.1076552861	0.0067860144	0.0067362397	0	0.009041556	0.02004625	0.148852025	0.000609858	0	0.0237709	0.021197712	0.05942348	0.046069874	0.155566736	0.1107777168	0.158265361	0.085202512	0.4052913597	0.35775529913	0	0	0	0.0145594095	0.0015756924	0.1435182908	0.0170568878	0.1742808416	0.106602942	0.023384387	0.0014844638	0.0023224516	0.00707631686	2.49043e-05	0	0.2750271921	0.002152036	0.086424196	0.258869504	0	0.12968477	0.023438571	0	0.092263646	0.0051648516	0	0.03464189	0.037984937	0.000172964	0.03080554	0.11332666	0.063255726	0.074249234	0.0189358035	0.060910706	0.160811727	0.104810026	0.162962113	0.132305976	0.025606253	0.0139421673	0.0017146246	0.03936187	0.102352386	0	0.17109281764	0.2194837368	0.1132919035	0.061284815	0.1668822908	0.2522730208	0.077162429	0.106119225	0	0	0	0	0	0	0	0	0.064324822	0	0.0604407688	0.106850819	0.159189965	0.01962464	0.20652014	0	0.01732039	0	0.0002837021	0.004918348	0.260371269	0	0.000603545	0.02839798	0.04898066	0.017166325	0.1027010792	0.03476105	0.1135846202	0.009786499	0.008831115	0.1256478358	0.0731628366	0.22311947112	0	0.00903026	0	0	0	0.0946201117	2.80364e-05	0.22319597	0.0064425471	0.01241871254	0.049453369	0	0.044952484	0	0.003061989	0.293250847	0.000194459	0	0	0	0	0.277292975	0.050973192	0	0	0	0.224353217	0.075754037	0.253573697	0.210189988	0.04638159	0.07512364	0.3711398392	0.113431785	0.035100491	0.01234519	0.01529974	0.002643339	0.007558304	0.00558802	0.0789788	0.1059784	0.000979293	0.153520231	0.1018750743	0.108932819	0.1383804592	0.034432272	0.123542973	0.0046420514	0.0036418839	0.00478219247	0.0027439524	0.010983319	0.049539459	0.00201995	0.00443469	0.048138938	0.195063352	0.1857407497
UNINTEGRATED	p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.40482e-05	0	0.00125953	0.00185079	0	0	0	0	0	0	0
UNINTEGRATED	p__Firmicutes	0.28898834958	0.41246911852	0.23701433804	0.45479539169	0.4019022268	0.5372269231	0.2498374975	0.32331956245	0.0257105347	0.194537080563	0.2496202005	0.19173193644	0.311282083364	0.3273406475	0.3597612689	0.39924542158	0.07720440683	0.1220614487	0.4078695007	0.14000042912	0.36371440546	0.4462169556	0.2841414847	0.6103641052	0.5596793474	0.2533984088	0.2661306151	0.3065910382	0.3365454932	0.23656695719	0.36203374313	0.28796852191	0.34318632376	0.0959403699	0.1273106118	0.0005067511	0.506265464	0.4736347026	0.1870143053	0.0965887948	0.19849815238	0.14726176309	0.139128630056	0.2870739745	0.33302431391	0.06802270464	0.309077468	0.235937953569	0.080345471	0.0422479183	0.1513680041	0.05453361801	0.3194062919	0.2087906733	0.20313549851	0.285155561	0.49211038616	0.2238406351	0.408423235	0.4557204206	0.5465587652	0.22136561119	0.40693254607	0.2584490415	0.4651002972	0.2541166323	0.22140585895	0.053047455725	0.121520866308	0.145725252129	0.26862034059	0.13005952371	0.2452734339	0.25027094985	0.255035135192	0.29398408495	0.4393657352	0.416527880901	0.3454331899	0.4815257169	0.27725914218	0.26593620277	0.334189162683	0.383479523536	0.27720266083	0.23295462577	0.088407220081	0.318858255782	0.09396503609	0.1378694987	0.20505367142	0.3928135377	0.559721547	0.3258191087	0.3126901985	0.372731427	0.3048997989	0.516177828	0.3477579581	0.152994484161	0.2908460932	0.3060381873	0.2353622455	0.2297127432	0.3423279495	0.02162687786	0.0523832687	0.26476728666	0.140984783	0.345661692	0.246343775	0.30315321407	0.3339445305	0.2600069894	0.6036436014	0.3185221086	0.4430973292	0.2823083018	0.31315512963	0.32826558224	0.40679684101	0.2058074484	0.09692870102	0.3228977056	0.07872755848	0.06053246962	0.21289847271	0.3319541281	0.41956928	0.1738458889	0.1188730566	0.133425292423	0.2723661221	0.01500916602	0.30203719281	0.28263652014	0.3014114906	0.232041018099	0.03492274009	0.2833997912	0.08734892374	0.1490150918	0.0827594953	0.191421305372	0.3296398355	0.0724631965	0.137388478	0.14831753172	0.1302031337	0.15726805086	0.1843439616	0.205444542609	0.38830370839	0.16238096244	0.1067480119	0.27853203214	0.43644363161	0.02091861649	0.2838611879	0.23766521341	0.2516860687	0.22178769813	0.26355939481	0.20264028406	0.3936482402	0.3079868724	0.33602001635	0.3346240928	0.2856728901	0.19387208334	0.30033813185	0.0630594545	0.05154099258	0.2861230674	0.37387211768	0.10076999021	0.1751658691	0.23548293874	0.0741837313	0.252027716799	0.17702497692	0.16800763609
UNINTEGRATED	p__Fusobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00035907	0.005033846	3.76029e-05	0	0	0.000141969	0	0	0	0	0	0	0	0	0	0	0	0	0.00014203	0.000257701	0	0	0	0.000310077	0.00026555	0.001788679	0	0.000972561	0.000505427	0.003392996	5.02902e-05	0	0	0	0	6.01976e-05	0	0.0001653603	0.0032331606	0	0	0	0.000182299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.28341e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.25139e-05	0	0	0	0	0	0.000120813	0	0	0	0	0.000622736	0	0.00155044	0	0.003541482	0	0.000583438	0	0	0	0	0	0	0	0.000124115	0.000125052	0.017435194	0	0.010846542	0	0	0	0.003115278	0	9.00291e-05	0.011373462	0.00170281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Lentisphaerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.426596e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000181473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Proteobacteria	0.0675302087	0.0090923868	0.0123905773	0.0023667608	0.00100103	0	0.336908534	0	0.58877753599	0.3511899461559	0.1644977467	0.269934548276	0.037292782	0.006532059	0.01955730125	0.00258732467	0.0388226782	0.1741419871	0	0.076389385	0.046700905	0.061825611	0.000171166	0	0	0	0	0	0	4.3848e-05	0.01332472414	0.0086486023	0.0420959577	0.0024526017	0.0011994066	0.865870494	0.1850791783	0.011037601	0.205878155	0.429097589	0.077810222	0.284812352	0.078890635	0.018067807	0.27620694215	0.69208482	0.013800099	0.069899021	0.12934386265	0.1626077708	0.0070165688	0.36592809082	0.0073994504	0.002283324	0.034039731	0.0026215155	0.049434064	0.0128257638	0.031190503	0.0227363169	0	3.24046e-05	0.064680726	0.023026991	0.015014858	0.0093758258	0.10605079085	0.3341799366	0.006226339	0.0275618382	0.0530463698	0.0794838103	0.081080861	0.14940263487	0.0644013	0.0048146168	0.0827792702	0.05460692	0.0208041023	0.1118100044	0.0005839949	0.002980741	0.0019171554	0.00136107	0.00602166192	0.00682924258	0.4282383349	0.00017708411	0.467787537	0.4805530337	0	0.2239965262	0	0.2572994195	0.236870656	0.1900000573	0.01008547605	0.051262889	0.1025084089	0.339335772	0.00137135538	0.0380695436	0.0012702472	0.0094048	0.0102594206	0.63936045235	0.64660796037	0.0145467804	0.002662418	0.01283688	0.000446786	0	0	1.51691e-05	0	0.0204562413	0.00028782	0.0031744901	0	0.002244428	0.00849847059	0.05057090266	0.47468868204	0	0.59541058698	0.44452150949	0.03482993266	0.02564156	0.2190770324	0.000416441	0.7035427692	0.4214655409	0.20081137093	0.8707807206	0.08811546873	0.49999517958	0.07674226574	0.001235326	0.61321416503	0.4085983178	0.0087423	0.6165158732	0.2182630328	0.037886775	0.0107814478	0.262447849	0.6149997794	0.5304456189	0.042580321	0.448707064	0.000319632	0.031496757	0.0066679765	0.39270541778	0.0382481301	0.0579680044	0.0100257561	0.6067152521	0.31298083585	0.13744162629	0.0328809142	0.330177906	0.039003713	0.08136542075	0.08334629066	0.0071684245	4.96765e-05	0.02086601652	0.0094733433	0.0165681836	0.0056006451	0.049126174	0.0253848355	0.11792408037	0.000305128	0.053953869	0.0650547761	0.1604303265	0.0584735109	0.0262084563	0.0033647674	0.0070635603
UNINTEGRATED	p__Synergistetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.74197e-05	0.000157859	0.000176767	0.000174564	0.000200787	0.000377863	0	1.57751e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000413063	0.00011831	0.000262884	0.000151321	0.000186597	8.45581e-05	0	5.12399e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174585	0	0	0	0	0	0	0	0.00230325	0	0	0	0	0	0	0	6.0124e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED	p__Verrucomicrobia	0.0707082	0.000401735	0.0452946	0.00600807	0.000368509	0.0157608	0.034452	0.0497577	0	0	0	0	0	0	0.00448908	0.0379411	0.0865566	0.114123	0.0703567	0.000610996	0.0927195	0	0	0	0	0	0	0	0	0	0.0101927	0.013245	0.01861	0	0	0	0	0	0.0385093	0.0388402	0.0924212	0.0625625	0.063445	0.0117319	0	0.00180409	0	0.0103674	0	0	0	0	0	0	0.000668863	0	0	0	0	0	0	0	0	0	0	0	0.00598022	0.0221151	0.00285122	0	0	0.0154039	0	0	0.00368168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00126604	0	0	0.0354092	0.013178	0.0166144	9.66017e-06	0.0519305	0	0	0.000621283	0	0	0	0	0.00120832	0	0	0	2.82957e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0176439	0.0197158	0	0	0.000483335	0	0
ko00010	p__Actinobacteria	0.00010094191	0.0001310224745	9.8174411e-05	0.000100825442	0.000220255753	3.80845868e-05	3.15046833e-05	0.000191328421	4.31608e-08	0.0002761486763	0.0003488310441	0.0002357041316	0.0001517290526	4.05284551e-05	1.4808789e-05	1.17190037e-05	0.000422245512	0.000349498769	4.1976133e-05	0.000686317665	3.1675141e-05	0.000192687	0	4.6662862e-06	2.77974e-07	0.000613019883	0.000608793	5.42018e-06	6.405226e-06	0	1.0755241e-05	9.32724e-06	2.1842486e-05	3.0281871e-05	2.3987587e-05	0	1.8236e-06	7.85736e-06	2.96405208e-05	4.5970821e-06	5.512181e-06	6.480971e-06	2.1719e-06	6.77292e-06	6.7327079e-05	3.1226128e-05	4.412286e-05	0.0003026619192	0.000391892502	0.0005299231481	1.392262e-05	0.00041131282355	5.6194939e-05	2.2453826e-05	0.0006236995634	4.4027095e-05	1.89125651e-05	0.000178712611	2.7524625e-05	1.33964e-05	1.19805193e-05	0.000311611457	8.2542866e-05	0.0002327287452	1.31768208e-05	9.9962556e-05	9.8375812e-05	0.000238117934	0.000571384845	0.0003738842299	1.0768638e-05	0.0002626056083	1.26882e-06	8.02815e-07	0.0001429780765	0.00011323025	2.1795273e-05	2.2062266e-05	3.1770677e-05	2.092556e-06	6.10529286e-05	3.0780345e-05	3.92158544e-05	6.98317705e-05	5.6093773e-05	3.8047068e-05	3.5397799e-05	0.000105027743	3.3950913e-05	1.5531512e-05	6.8827468e-05	1.6835523e-05	0	1.7896876e-05	6.1827892e-06	1.30534e-05	9.1323e-06	3.05005e-06	2.68664e-05	1.4148823e-05	1.986458e-05	8.713856e-05	2.611874e-05	6.494283e-06	3.172011e-05	0.0002573057	0.0001774256608	6.02828093e-05	8.835149e-05	3.323218e-06	0.000138635816	2.0188713e-05	1.0775356e-05	3.0080674e-05	0	1.8645895e-05	3.4251874e-05	2.2877525e-05	1.797922e-05	1.89760668e-05	1.41869091e-05	2.6897556e-05	0.00021481037	5.10991741e-05	0.0001433909001	0.0003459749966	0.00060845045	2.6492899e-05	0	2.407523e-05	1.09408e-06	0.000125046998	3.7744157e-05	3.188267e-06	4.39632701e-05	3.0517747e-06	6.7077647e-05	1.7226098e-05	9.11285e-08	1.275408e-06	0.00037801218758	1.3346885e-06	0.00026075371	4.692721e-05	5.2659143e-05	0.000307071195	4.96508e-06	2.137741e-06	0.0001729442043	2.1457609e-05	4.001303e-05	5.139102e-05	6.98735722e-05	3.16897334e-05	4.91007e-06	5.8000038e-05	3.753817067e-05	0	0	0	0.00010195944	0	4.43782e-07	0	0	4.48650468e-05	3.95271509e-05	2.606152e-05	7.9634452e-05	0.000288877353	5.3399452e-05	0.000485733869	0.000546982639	2.78600152e-05	3.28639907e-05	0.00074923067544	0.0004304545752	0.0003935233145	0.000827014861	0.00036637379047	0.000138346941	0.0003422040114
ko00010	p__Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1967e-06	0	0	0	0	0	0	0	5.71472e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002214194	0	2.62913e-05	0	4.03083e-07	0	0	6.98666e-06	0	0	0	0	0	0	0	0	1.13486e-07	0	0	0	0	0	0	0	4.8078e-06	0	0	0	0	0	0	0	5.4506e-07	0	0	0	7.18612e-07	0	0	0	1.16035e-07	0	0	0	0	0	0	0	0	0	0	0	8.88964e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00010	p__Bacteroidetes	1.849127e-06	9.45183e-08	8.35338964e-05	0	2.23541e-06	4.473734e-06	8.09757e-07	8.9504307e-06	0	0	0	0	1.79216e-07	0	0	4.62051036e-05	4.31091509e-05	4.104462e-06	2.625716e-06	0	3.002509e-06	1.01714e-05	5.361232e-05	7.47912e-08	0	1.28129e-05	1.1520915e-05	2.042279e-05	1.570658e-05	4.31981e-05	5.3176271e-05	8.44618261e-05	3.777952e-05	0.00017075996116	0.0001813890378	0	0	0	9.427687e-06	1.0440436e-06	8.5606921e-05	1.00294311e-05	0.0001022254832	6.0606369e-05	4.1904e-06	2.012973e-07	1.059622e-06	4.741605e-06	0	0	0.000182193395	6.966621e-07	4.9119663e-05	0.0001213121328	0	4.9817794e-05	2.83145e-06	0	1.2464158e-05	0	0	1.295346e-05	3.09117e-06	0	2.79863e-06	8.74109e-05	2.2038758e-05	4.1589038e-05	1.176494e-05	3.7083397e-05	1.9815479e-05	6.4146125e-05	5.4502291e-05	3.309887e-05	1.2972826e-05	8.6344608e-06	1.94341e-07	6.62443e-06	2.2195631e-05	0	7.14099452e-05	8.67661683e-05	4.29001289e-05	2.0663796e-05	7.97286888e-05	0.0001026800258	4.7255716e-05	4.0072019e-05	0	0	0	0	0	0	0	0	5.81759e-05	0	5.159181e-05	6.1134944e-05	0.00013389278	1.712637e-05	0.00016527228	0	4.098212e-06	0	0	4.23773e-06	0.00022042036	0	0	5.96042e-06	1.535527e-05	4.19522e-06	5.45004192e-05	1.038422e-05	3.29514711e-05	2.1269e-06	1.8374258e-06	3.8824157e-05	2.1556788e-05	8.918214e-05	0	0	0	0	0	5.69923679e-05	0	0.00011701517	4.48229e-06	0	1.9526323e-05	0	1.597673e-05	0	4.59372e-07	0.000154221786	0	0	0	0	0	0.00016574124	1.002669e-05	0	0	0	0.000129216704	0	0.0001397172717	9.69255927e-05	8.341307e-06	0	0.000208675933	4.394432e-05	1.0016982e-05	8.85527e-06	1.026738e-05	1.768335e-06	4.936553e-06	4.34365e-06	6.09542e-05	7.70775e-05	5.86257e-07	5.00295108e-05	4.41290215e-05	2.3036526e-05	4.055663e-05	1.5724533e-05	3.32525244e-05	7.62013e-07	3.31035e-07	3.147019e-06	2.47613e-07	7.34252e-06	3.220819e-05	0	0	3.183413e-05	0.000124046295	0.0001000072539
ko00010	p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.39335e-07	0	4.21377e-06	4.9599e-06	0	0	0	0	0	0	0
ko00010	p__Firmicutes	0.0001918687377	0.000601224724	0.0001161015268	0.0004488291743	0.0005566073532	0.0013520050298	0.0003528869743	0.000446694255	7.579049e-05	0.000256413734	0.0002968151068	0.0006054781941	0.0002702639634	0.000182814445	0.0002957868084	0.0002521254435	6.64813932e-05	0.0001643075702	0.0002354851474	0.0002358435817	0.0001641290609	0.000908973146	2.77160469e-05	0.0006805030164	0.000464469716	0.000136449799	0.000195473639	8.93142361e-05	9.77530244e-05	4.11321668e-05	0.0004639387606	0.00020562894	0.000301815548	2.2296577e-05	3.47630051e-05	7.37313e-07	0.0006443211154	0.000428514363	0.000193794165	6.92460578e-05	0.000427761917	8.43290874e-05	8.63552512e-05	0.0006376335583	0.000800165938	8.295818696e-05	8.76865e-05	0.0001401993741	0.000144875024	7.9732258e-05	2.35163554e-05	0.0001122040878	0.000178945132	0.0001024534665	0.000171922177	0.0001693858486	0.0007492936982	0.000185308704	0.0005313042292	0.0005595051	0.0010136490173	0.0002099737642	0.00055724681074	0.0001626323027	0.0005997351102	6.33046341e-05	0.000126056167	5.80569104e-05	9.44088353e-05	0.00011438531276	0.000654184317	0.000133480409	0.0004454965885	0.0004344574658	0.0002207571427	0.0004119121255	0.0007056885994	0.00045922163664	0.0001747457905	0.0013931985746	0.0002026985194	0.0002030159222	0.0003373790693	0.0003677321647	0.0002465951379	0.00023521909365	1.38903387e-05	0.0001445063751	0.0001928845177	0.0002694183488	0.0004375069339	0.000822735821	0.0002385448306	0.0004568296652	0.000182186986	7.5103641e-05	0.000243502542	0.0006904679287	7.8661393e-05	5.35447666e-05	0.0001239430764	0.0002028803267	0.000129248964	0.000252950272	0.0002216966982	2.15025352e-05	5.56401541e-05	0.000140985452	4.95648796e-05	0.00023336776	5.4633384e-05	0.0001447157431	0.000138408493	0.0001550819573	0.0007559966	0.0001776645526	0.0004864115919	0.000130255221	0.0002735290514	8.70747974e-05	8.26867571e-05	0.0001571225507	0.0002360747599	5.14527422e-05	0.0001495216814	0.0001212024928	0.0001905622213	0.0001403542503	0.001353521596	0.0001704848786	5.887869e-05	0.0001071189263	0.0002982390184	3.07757283e-05	0.0003093934369	0.0004869899307	0.0002744901773	0.0001554952657	1.287043e-06	0.000992381775	7.74390316e-05	0.0004760067815	8.7478116e-05	0.0002262743395	0.00031241730282	0.0001727225085	0.000386886625	0.0003052177139	0.000187698948	0.0001469573211	2.63102709e-05	0.0002419560342	0.00053186320951	0.00014040671209	6.48422729e-05	0.00027784371033	0.0001745438974	2.803471e-06	3.23988821e-05	0.0001099170104	0.0001579140378	2.93082676e-05	4.05924818e-05	1.55523048e-05	0.000195635182	0.0002088196227	0.0001002675194	0.0001727028939	0.0001302394604	0.0001088355134	0.0001753988165	2.80191323e-05	1.98421808e-05	1.4199654e-05	3.69982451e-06	0.0001623849962	0.0004004555115	0.0006959106458	0.0002239118412	0.00043858162733	7.83266894e-05	0.0002282596478
