Pathway	Kingdom	p1709-203195513	p1709-203195523	p1709-203195531	p1709-203195542	p1709-203195552	p1709-203195561	p1709-203195573	p1709-203195582	p1709-203196507	p1709-203196520	p1709-203196534	p1709-203196543	p1709-203196557	p1709-203196572	p1709-203196579	p1709-203196604	p1709-203196614	p1709-203196625	p1709-203196633	p1709-203196642	p1709-203196657	p1709-203196672	p1709-203197508	p1709-203197522	p1709-203197527	p1709-203197541	p1709-203197546	p1709-203197564	p1709-203197574	p1709-203197577	p1709-203197604	p1709-203197614	p1709-203197621	p1709-203197630	p1709-203197647	p1709-203197669	p1709-203197685	p1709-203197699	p1709-203197707	p1709-203197722	p1709-203197739	p1709-203197745	p1709-203197757	p1709-203197771	p1709-203197783	p1709-203197792	p1709-203197805	p1709-203200520	p1709-203200532	p1709-203200541	p1709-203200569	p1709-203200585	p1709-203200596	p1709-203200604	p1709-203200630	p1709-203200641	p1709-203200648	p1709-203200663	p1709-203200673	p1709-203200677	p1709-203200694	p1709-203200704	p1709-203200717	p1709-203200728	p1709-203200738	p1709-203200749	p1709-203200768	p1709-203200777	p1709-203200784	p1709-203200794	p1709-203200809	p1709-203200824	p1709-203200840	p1709-203200856	p1709-203200869	p1709-203200890	p1709-203200916	p1709-203200925	p1709-203200934	p1709-203200943	p1709-203200965	p1709-203200975	p1709-203200993	p1709-203201004	p1709-203201017	p1709-203201033	p1709-203201049	p1709-203201057	p1709-203205513	p1709-203205523	p1709-203205538	p1709-203205550	p1709-203205560	p1709-203205567	p1709-203205584	p1709-203205609	p1709-203205624	p1709-203205641	p1709-203205646	p1709-203205666	p1709-203205676	p1709-203205689	p1709-203205699	p1709-203205719	p1709-203205732	p1709-203205741	p1709-203205750	p1709-203205765	p1709-203205777	p1709-203205786	p1709-203205801	p1709-203205826	p1709-203205832	p1709-203205841	p1709-203205853	p1709-203205870	p1709-203205880	p1709-203205894	p1709-203205909	p1709-203205925	p1709-203205929	p1709-203205940	p1709-203205954	p1709-203205963	p1709-203205971	p1709-203205977	p1709-203206014	p1709-203206042	p1709-203206063	p1709-203206079	p1709-203206085	p1709-203206095	p1709-203206106	p1709-203206115	p1709-203206122	p1709-203206134	p1709-203206148	p1709-203206166	p1709-203206189	p1709-203206192	p1709-203206203	p1709-203206207	p1709-203206216	p1709-203206229	p1709-203206242	p1709-203206252	p1709-203206259	p1709-203206269	p1709-203206281	p1709-203206292	p1709-203206316	p1709-203206327	p1709-203206335	p1709-203206347	p1709-203206357	p1709-203206369	p1709-203206382	p1709-203206410	p1709-203206419	p1709-203206427	p1709-203206434	p1709-203206451	p1709-203206459	p1709-203206473	p1709-203206481	p1709-203206506	p1709-203206514	p1709-203206529	p1709-203206536	p1709-203206544	p1709-203206553	p1709-204784517	p1709-204784525	p1709-204784527	p1709-204784541	p1709-204784563	p1709-204784572	p1709-204784581	p1709-204784590	p1709-204784608	p1709-204784612	p1709-204784631
M00001	k__Bacteria	0.0001797212938	0.0006144882313	0.0002440241479	0.0003771831859	0.000610072243	0.0002032200466	0.0003425844102	0.0005261795521	0.00033495981	0.0004704395403	0.0003843008135	0.0005837947589	0.0002471277871	0.000111360672	0.0001864234945	0.0001952401362	0.0004375382682	0.00035827533461	0.000186391194	0.000384129263	0.0001201132671	0.000876574053	6.6045781e-05	0.0004798470477	0.000298442382	6.9749328e-05	0.000111915563	7.73218242e-05	7.988025e-05	8.8143769e-05	0.00040166043687	0.0001701539469	0.000158897924	0.000223935414	0.0001827313795	0.00013332172503	0.000507058527	0.0004007381859	0.0002189288883	0.0001349850588	0.0004687443076	0.0001236806617	0.0002076660259	0.0006489848533	0.0002316824692	0.000156874909	6.27863917e-05	0.0002371369841	0.0004227474311	0.00054024904216	0.0002147495313	0.00050903194832	0.0002306769841	0.0002440925308	0.0007057466939	0.0002162083121	0.0006046832767	0.0003061867407	0.000530359519	0.000484306921	0.0007597329492	0.000499927427	0.0005260344861	0.0002377237534	0.00049550828306	0.0001771289641	0.0002086320653	0.00034668124858	0.000613146281	0.00048852789055	0.0005810297806	0.0004233849977	0.0004583556425	0.0004274812074	0.0002832694891	0.00046061021759	0.000609692009	0.00039030925392	0.00014353283356	0.0004425422114	0.00020711854327	0.00022113811299	0.000268315881	0.0002798351972	0.0002430917952	0.00027121200035	0.0001336864575	0.0001080874675	0.0004559478692	0.000498881126	0.0004896722497	0.000765708796	0.0002401041	0.0005441332004	0.0003709832272	0.000416144782	0.000222435537	0.0008875469208	0.000209633131	0.000154316216	0.000262792729	0.000251012573	0.00024945306697	0.0001927035129	8.68085728e-05	0.00030706498583	0.00023732029664	0.000185415689	0.0003268868571	0.0002080675607	0.000164429789	5.4072893e-05	5.1476335e-05	4.99162224e-05	0.000503501856	7.4946516e-05	0.00047823608625	4.24567256e-05	0.0001109700015	0.0001604637968	0.0001379937849	0.0003238905849	0.00046122328177	7.87561832e-05	0.0003317402745	0.0004707199028	0.0006912448919	0.0001605060091	0.0003242333189	0.0002806923611	0.0001322932839	0.0002620302319	0.0003147547739	9.8109983e-05	0.0002891466556	0.0002939062108	0.0002496131681	0.00026369556891	0.00027581641347	0.00045721820536	0.00065944753028	0.0003507073903	0.0005232692355	0.000428541636	0.00027750379889	0.0005805160855	0.00037665746817	0.00026944287763	0.00051273378052	0.00019773110415	0.0002369445144	0.0003244981865	0.00039026093643	0.0002182971783	0.00022475154	0.000319766934	0.00018299609753	0.0002753566145	9.47285347e-05	0.0001087019481	0.0002153675562	6.5903112e-05	2.31640446e-05	1.876957e-05	8.54768809e-05	0.00024848557265	8.62784905e-05	0.0001426874666	0.0001862298333	0.0003499313401	0.0001887229245	0.0004419747625	0.0004807903534	2.25887224e-05	2.17149715e-05	0.0007440112644	0.0007141141858	0.00093165722792	0.0007527588255	0.00068545954735	0.0002487969132	0.0006583864579
M00001	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.79379e-08	0	0	0	0	0	0	0	0	0	0	1.53832e-06	0	0	0	0	0	0	0	3.73691e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002263017	0	1.4339e-05	0	4.6639e-07	0	0	7.10099e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85934e-06	0	0	0	0	0	0	0	0	0	0	0	4.3614e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.30908e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00002	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81047e-07	0	3.80633e-06	5.14043e-06	0	0	0	0	0	0	0
M00002	k__Bacteria	0.0002851602793	0.0006920277213	0.000296485056	0.0004568159552	0.0007538521788	0.001468374441	0.0004046526781	0.00066830201	0.0005336135502	0.00052631127305	0.0005460867113	0.0006874035346	0.000165068103	2.6543103e-05	0.0001989737624	0.0001309830371	0.0006925973945	0.0007372017497	0.000266553735	0.0008661643263	0.0001530840154	0.001144948677	4.955231e-05	0.0002235811263	0.000144180769	0.000619998665	0.000663881792	3.88918088e-05	5.5273466e-05	5.8336666e-05	0.0005605807851	0.000235166639	0.00028315228	0.0001752006106	0.000187296647	0.000131376449	0.000554736762	0.0006293929117	0.000280756302	0.000143878405	0.00069529217	0.0001857620389	0.00029035376	0.0007609646275	0.00098295221129	0.00016817277772	1.2153676e-05	0.0003059173247	0.0008748807024	0.0008764897304	0.0002233176882	0.0006779879884	0.0002456478218	0.0002404324597	0.000695191228	0.0002615943903	0.000843821215	0.0003936621627	0.0006433374781	0.000611649695	0.00110635799009	0.0005149220181	0.000650405082	0.000407068065	0.0005705840992	0.000257414489	0.0001614366508	0.0003864831028	0.000692789099	0.000540002993	0.0007966078452	0.000489212557	0.0005690652248	0.000525811336	0.0003818747111	0.0004886959914	0.0006276375616	0.0003914093637	9.2662114e-05	0.000183659466	0.0002877731169	0.0002417670906	0.0003469081143	0.0003563930674	0.000324602084	0.0003487928186	0.0001076220006	0.00020417938	0.00053950396826	0.00060628383129	0.0005243168889	0.000976297249	0.000103787646	0.0006292359127	0.000375062516	0.00042474987843	8.6510328e-05	0.0010453718497	7.5569856e-05	9.10592791e-05	8.96595328e-05	2.6736736e-05	8.25504071e-05	0.00019921851	0.000139085909	0.00031810517	0.0002780315486	3.4917636e-05	0.0001451706576	0.0002381375743	4.5365e-05	4.58670194e-05	3.8218318e-05	7.1913305e-05	0.000120015719	8.36490832e-05	0.000581673737	7.67459642e-05	0.000163550515	0.0001659114633	6.6193423e-05	0.0003487868818	0.0005263955852	0.000174225422	0.00036924079996	0.0005144276752	0.0006893845291	8.24804836e-05	0.0015416853272	0.0003710183083	0.000150937391	0.00027233465752	0.000225784347	0.000123058376	0.0001793685683	0.0003477652202	0.0001820995383	0.000281179781	0.0003343048963	0.0011477721195	0.0010561493472	0.0006675437852	0.0008197170699	0.0004796766261	0.000116805208	0.0008942964917	0.0005947244028	0.0004935907034	0.0006902206106	0.0002192404994	0.0004809505664	0.0003567488284	0.000525880012	0.0002520554141	0.0002959128496	0.0003715327599	0.000131554496	0.00033650154921	0.0001093313614	3.16825662e-05	0.0004571854122	5.6759606e-05	6.00727476e-05	6.958988e-05	4.7262448e-05	0.0002417787135	8.03820443e-05	8.8856981e-05	0.000124044401	0.000343345771	0.000132091924	0.0008510184919	0.000861564492	1.6571513e-05	1.98875806e-05	0.0008572977086	0.00098146995831	0.0012715555721	0.0011316502877	0.0007598201518	0.0003295570552	0.00064875757636
M00002	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.97542e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94056e-07	0	0.0002705663	0	1.45575e-05	0	0	0	0	8.74893e-06	0	0	0	0	0	0	0	0	9.24779e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62555e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00003	k__Bacteria	7.87456729e-05	9.88490181e-05	0.0001370525301	0.000116894404	0.0001003187207	0.000926798034	8.85652214e-05	7.68589347e-05	4.958166e-06	9.2495416e-05	0.0001631667596	0.0003154836526	7.09004e-05	5.8737937e-05	0.0001565769872	0.0001242131972	7.28864874e-05	4.39681987e-05	6.01415789e-05	6.2858958e-05	6.149499281e-05	0.00019070556	4.43091683e-05	0.0001933960506	0	1.5232573e-05	6.5086637e-06	3.8737918e-05	3.25327911e-05	5.98115219e-05	0.000176653682	0.0002065020128	0.000239239343	0.0002010424081	0.0001938489312	6.4947956e-06	3.314853e-06	5.6115573e-05	7.69957706e-05	6.002641372e-05	0.0001410486954	7.655469896e-05	0.0001566404783	0.0001939608889	0.000568643075	0.000127942508	6.4814757e-05	7.02139538e-05	3.61545677e-05	3.13326311e-05	0.00017809667415	6.59262754e-05	0.0001441593184	0.0001736507217	3.1368034e-05	0.0001039119032	0.0001901386444	7.3258603e-05	0.00018494143693	0.00011837614058	0.0001309007551	0.0002057058355	0.00024280940179	5.96647574e-05	0.0001577579035	9.439789e-05	5.7797407e-05	6.8865039e-05	2.3713206e-05	5.69884385e-05	3.25333676e-05	7.58143523e-05	7.69345855e-05	9.02160138e-05	7.2743055e-05	3.26391177e-05	0.0006112130848	0.0003927019539	9.93540801e-05	0.0001305437488	0.0001303638159	0.0001764069788	0.0001725879371	0.000165290836	0.00014689536822	0.00015725500458	7.62102563e-05	0.00012861769677	0.000388202517	0.000384624124	3.6740653e-05	0.000371291292	0	0.0003445712963	0.00022909673	0.000160484078	0.0001035130591	3.60877262e-05	7.22052913e-05	8.36354941e-05	0.000136667877	7.85365016e-05	0.0001363414012	1.72947171e-05	0.000115336872	6.3667318e-05	9.86015892e-05	4.9721233e-05	0.0001568700087	0.0001362735364	1.3004818e-05	3.18579277e-05	3.16746198e-05	3.96814066e-05	5.06630982e-05	4.47735932e-05	6.35506961e-05	2.91767226e-05	8.33006326e-05	5.93113465e-05	3.63905766e-05	0.0001194421089	9.61570066e-05	2.75921629e-05	0.0001301502952	0.0001080248448	1.25136246e-05	7.98433975e-05	0.0008286692682	0.000177346453	7.01499491e-05	9.3431255e-05	0.0001761661292	9.574761e-05	0.0001972910752	0.0001390947907	0.000143989346	0.0001532489018	0.0002810648317	0.000480422579	1.5983631e-05	0.00021790414214	0.000126010699	0.0001370251592	0.000144166988	8.2588531e-05	0.000151644749	0.0002922191156	0.0001405124373	0.0001362335453	0.0001143764483	0.0001086594406	0.00030168532	0.0001088764612	0.0002205864464	7.24300023e-05	9.72492939e-05	0.00025934465	8.06560158e-05	7.5393286e-05	8.96501035e-05	5.9972438e-05	4.0665546e-05	2.9035712e-05	0.0001131959734	0.000161764323	7.8093142e-05	8.72954314e-05	8.12485376e-05	5.60189554e-05	9.09429079e-05	1.49163327e-05	1.58398616e-05	2.89796701e-05	8.7742074e-06	5.70459339e-05	0.000152609628	0.0001125277756	0.000207426982	0.00011105718	0.0001753286739	0.0001403997519
M00003	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00019566337	0	9.86701e-06	0	0	0	0	6.53724e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00004	k__Bacteria	5.14531014e-05	0.000109837324	0.000128267334	0.000117372393	0.000197917884	2.4556787e-05	5.8400133e-05	9.39391227e-05	1.69362e-08	0.0001815932022	0.00029604558221	0.00014540052118	0.0001621113169	8.62770416e-05	0.0001117963974	3.74521006e-05	8.05702433e-05	0.0001841595808	3.2146977e-05	0.00042352205429	2.4243398e-05	0.0003482313	4.918535907e-05	0.00026074956258	0	0.000497022501	0.0004883569	0.0001120575913	8.26096889e-05	7.113497e-05	0.0001901678788	7.68605724e-05	4.72055904e-05	0.000163215093	0.0001922829743	0.0001350789	3.31117008e-05	0.00015509257	4.4392334e-05	8.91155899e-05	9.28089341e-05	3.29985516e-05	9.23404266e-05	6.5742515e-05	6.83811538e-05	5.7844165e-05	7.1593705e-05	0.0001407111159	0.0002557699754	0.000235768788	0.000202193367	0.00017616179	8.14270167e-05	0.00014493239147	1.8892077e-05	7.770056997e-05	0.000192575589	8.91883685e-05	0.0001684264128	0.0001058314096	0.000277574946	0.0001341090472	8.47269489e-05	0.000102163482	0.0001288356671	0.0001272998849	4.2938471e-05	0.0001114885565	3.80973059e-05	6.63375913e-05	0.0003676202135	0.0001055164199	0.000270624712	0.0002728236516	6.7879554e-05	4.4052663e-05	2.7618325e-05	4.39760435e-05	7.13142998e-05	0.000700354882	6.25792827e-05	7.28140855e-05	4.6890642e-05	3.2386277e-05	5.8303589e-05	8.54966671e-05	9.05627023e-05	8.701518e-05	2.454478221e-05	0.00024456639	6.0966001e-05	6.082385e-05	0	5.0818663e-05	1.7652661e-05	3.0662e-06	0.000332577878	0.000402680721	0.0001655991	0.0001038553167	0.000297365261	0.0002904444085	0.000286679379	9.419787e-05	3.9558823e-05	0.000107785922	0.0001251897965	0.000195744707	0.00023733757	1.7316886e-05	5.551313e-05	2.08067734e-05	2.4351861e-05	2.331005536e-05	3.21072681e-05	3.04401764e-05	0.0001508923364	2.6431381e-05	6.04311266e-05	6.617761789e-05	5.65063245e-05	8.723252171e-05	9.6262415e-05	2.11316578e-05	0.00011126534222	7.44780025e-05	2.0069688e-05	6.381303198e-05	0.0002747533	0.000267571813	7.6945295e-05	0.00010031051243	9.7485106e-05	0.000102399761	0.0001135468913	0.000332866478	0.000123003054	0.00012493288293	8.85259e-08	0.000420576961	0.000187917998	0.000302637944	0.0002050879053	0.0002664731414	3.48481263e-05	0.000176513983	0.000320613447	0.0001902053982	0.0001966913152	0.00015090577	0.0002146521237	0.000143013987	8.79462831e-05	0.0001677576475	0.0001724642712	0.000175424725	3.22727779e-05	1.4972777e-05	5.821378e-05	0.0003071202369	0.000128845818	0.0001148652274	6.63841016e-05	4.406086407e-05	8.7154764e-05	6.3040165e-05	5.9552234e-05	6.5208257e-05	6.796796927e-05	4.133774274e-05	3.95427993e-05	0.0003189879451	0.0003032080917	1.1417214e-05	6.8298536e-06	2.709784909e-05	0.0001534845676	0.0002993134798	1.9157214e-05	0.0001673590352	3.76529975e-05	0.0001306224966
M00004	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.40156e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.111376e-05	0	8.60183e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06415e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00005	k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90197e-06	5.54661e-06	0	0	0	0	0	0	0
M00005	k__Bacteria	0.000119231613	0.000644919129	0.00017502035	0.0002086771523	0.000481615728	0.001676944042	0.0004268832066	0.0005802778733	0.000498778298	0.0007610570055	0.000971796891	0.0010286359422	0.000328458748	9.6118288e-05	0.0001889016133	0.0002952234032	0.0010186459553	0.0010231876962	0.0002796019773	0.0020465600352	0.0001739514452	0.001194960363	0.0001169802225	0.002067612403	0.001933180796	0.00196266295	0.002139689274	0.0001632040779	0.0001760487734	0.00011506113	0.000235803838	0.000244085274	0.000311536048	0.000238552266	0.0001279787846	3.93739977e-05	0.0005688408007	0.000133770395	0.000242433739	0.000189736938	0.000505750594	0.000182384744	0.000180165271	0.0006774937416	0.0011579496589	0.00015902909666	0.000171038144	0.0007058496491	0.0016671729787	0.0016656399785	0.0001032012085	0.001040471987	0.00025079925	0.000214857337	0.001501642722	0.000264580474	0.0003282796929	0.0007505986542	0.0003299540892	0.000323511885	0.0002724593291	0.000889439727	0.0005467759791	0.000837178377	0.000235157231	0.000522487215	0.000336024762	0.000510533533	0.0011667755143	0.0008185425527	7.01850871e-05	0.0006044637942	7.72996357e-05	7.67342805e-05	0.0004107375595	0.00067257251	0.0001253155125	0.000144656141	0.00023405426	0.0016189889075	0.0003691083042	0.000313474966	0.0004409495043	0.000443430593	0.0003766679308	0.0003627945882	0.0001278896228	0.000338751433	0.0004309975856	0.0006273689275	0.000600249405	0.0011136437484	0.000658537043	0.000891217159	0.0008617186243	0.000392000729	0.0003567622124	0.0003283375251	0.000513017938	0.0001459767884	0.000376185462	0.000785214782	0.0004530869871	0.000320126763	0.000237271411	0.0005330163065	0.00045774798048	0.000505487457	0.0005457030953	0.000309591661	0.000765446405	0.000105678298	0.0001107357942	0.000161792328	0.001871870727	0.0001343724588	0.00052454392	0.000194985508	0.0002792978902	0.0001525593789	0.000117922276	0.0003000380894	0.0007503332282	0.0002821548591	0.0004906984704	0.0008188945076	0.0014604381515	0.0001691283025	0.0014170221153	0.000888950904	0.000206750142	0.000390580288	0.000419945679	0.000114465396	0.0004855115082	0.0002101700667	0.0005075474717	0.0003478746318	0.0004564679941	0.0007148449719	0.002250367463	0.0003835430189	0.001391105418	0.000164862662	0.000272909145	0.0015760999892	0.0002800830873	0.000446259967	0.0009434317293	0.0001783742201	0.0007957411264	0.0001994506503	0.0005724623856	0.0002735150425	0.0002271104781	0.000131492787	0.0001738366517	0.0004137059226	0.0001241070995	0.000199523888	0.000933141587	0.000146121151	9.4533821e-05	8.157372e-05	0.000123618904	0.000296316856	0.000258676032	0.0002441193696	0.0003021840103	0.0006922982832	0.000227491635	0.0016835922244	0.0018065416872	9.6781715e-05	0.000144957656	0.0012862424452	0.001081869191	0.0010823686209	0.0018934544986	0.000839388946	0.0004103678825	0.0008872328974
M00005	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.60199e-06	0	0	0	0	0	0	0	7.91547e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.62497e-07	0	0	0	0	0	0	0	0	0	0	2.98722e-06	0	2.64380768e-05	0	2.32994e-05	0	0	0	0	1.8039e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.66853e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00006	k__Bacteria	6.57091573e-05	0.00013538997987	2.6329199e-05	0.0002136706951	0.00028014231251	3.41827198e-05	3.5392807e-05	0.0001473679951	0.000374003	0.000106219483	6.2027182e-05	7.05911922e-05	6.8257813e-05	2.4000051e-05	1.1249221e-05	1.732296e-06	5.275071e-06	6.09247942e-05	1.185764e-05	3.1584869e-05	8.350422e-06	0.00037136932	6.688578e-06	9.793964e-05	0	7.43923e-06	5.385828e-05	3.73328971e-05	2.7821929e-05	1.9603502e-05	0.000199145302	1.16203e-06	3.3139096e-06	3.297465e-06	4.83148e-06	7.0536651e-05	4.0947522e-05	3.2155546e-05	3.5592776e-05	5.39897005e-05	2.27215263e-05	4.33358422e-05	1.24883164e-05	1.51851365e-05	4.09710388e-05	5.6737424e-05	1.000984e-05	1.3148169e-05	2.3205135e-05	4.3599893e-05	6.4235678e-06	9.48623486e-05	1.9970228e-05	3.2586839e-05	1.326859e-05	3.1436685e-05	0.00031060030624	6.874908e-06	0.0002123335666	0.0001867697409	0.0005604788366	1.5581422e-05	8.329123369e-05	4.37383e-06	0.0002295007186	3.62519e-05	1.98244966e-05	6.19377078e-05	4.3837e-05	4.68557153e-05	0.0003436138452	6.70842483e-05	0.000219263166	0.000234124683	5.6328286e-05	2.68455407e-05	1.632163e-05	7.0183518e-06	3.05287115e-05	9.01897e-05	3.4760524e-05	2.55153476e-05	2.416333863e-05	1.13554036e-05	2.98997887e-05	3.49410829e-05	4.969967e-05	4.85639688e-05	0.000293001871	0.00026925287	7.74434435e-05	0.00013933859	3.68964e-05	0.000185625443	0.000149692371	0.0002281553693	0.00012388863	0.000132783857	6.781745e-05	3.96325934e-05	7.09514958e-05	0.00012402573	7.732513e-05	1.12134e-05	2.538182e-05	6.6765267e-05	0.000102068299	8.9866999e-05	2.2268421e-05	1.168695e-05	4.90932e-05	7.820138e-06	7.011755e-06	8.616326e-06	0.000418408	1.1027966e-05	0.0001526526828	1.66583863e-05	1.373868e-06	3.051775e-06	3.188149e-06	3.382228196e-05	5.72987554e-05	1.0951386e-05	6.09527414e-05	4.4046516e-05	1.3813372e-05	1.4814895e-06	0.0002366703638	3.5213296e-05	6.7307627e-05	3.5560679e-05	4.4068759e-05	1.8544178e-05	2.58874847e-05	0.00017053737	2.5746241e-05	4.3494131e-05	0.0001405032111	0.000335305611	3.5886e-06	0.0002437453697	8.34992e-05	8.55814418e-05	9.6820523e-06	3.9664493e-05	0.0002681596906	0.000151649891	2.2188677e-05	3.1016134e-05	2.46305e-05	5.43269457e-05	5.9852366e-06	5.8585319e-05	4.1214772e-05	7.2509252e-05	5.9356048e-06	0.0001349244898	3.6701191e-05	0.000173237508	1.44134284e-05	2.11486e-05	2.450228e-06	3.17881e-06	1.2736354e-05	1.98161043e-05	9.70534598e-06	3.05156695e-05	1.28177424e-05	1.75471318e-05	6.014105e-06	1.50672414e-05	1.2560776e-06	6.05422e-06	0	6.1773182e-06	3.2797293e-05	0.000161745114	2.26885714e-05	0.000114571337	1.239005e-06	4.8681135e-05
M00006	k__Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.54845e-07	0	0	0	0	0	0	0	2.91313e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.247172e-05	0	1.11139e-05	0	2.04626e-07	0	0	1.48993e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0741e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.80697e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
